"age","income","meanhourswatched","Film1","Film2","Film3","Film4","Film5","Film6","Film7","Film8","Film9","Film10"
57,65.54,10.27,"Obedience","Juntos, in any way","500 Years Later","Memories of War","Adamah","Ando volando bajo","Fara","Tak for Alt: Survival of a Human Spirit","Clown","Ammazzali tutti e torna solo"
51,78.99,10,"Na voyne, kak na voyne","Three Sisters on Moon Lake","In girum imus nocte et consumimur igni","Mboutoukou","Izpit","Plight of Clownana, The","Autorequiem","Pianeta azzurro, Il","Two Days with Juliet","Piggy Bank"
49,57.01,33.67,"Night of a Thousand Screams","Ai-Fak","Oath, The","Udzinarta mze","Mis","Herrenpartie","Metropolitan","Sundown","Backjumping","Ivan Groznyy III"
60,86.52,129.39,"Tasty","Letzte Rache, Die","Skazki... skazki... skazki starogo Arbata","Three Barbecues: A Blackened Comedy","Tie Xi Qu: West of the Tracks - Part 2: Remnants","Krylya","Hot Java","Bench, The","Snegurochka","Maso et Miso vont en bateau"
37,65.41,7.44,"Kradetzat na praskovi","Cachorros","Ekdromi, I","Cerebrium","Crude","Dark Agent and the Passing of the Torch Chapter 7, The","Shinobugawa","Up for Grabs","Breakup Film, The","Marienthal: State of Emergency"
63,69.38,52.23,"Focus Group","Jantjes, De","Secretul lui Bachus","Tino","Apartment 206","Legend of the Boy and the Eagle, The","Aapathbandavudu","Brooms","Evil Surprise, The","Gardiens de phare"
59,78.82,4.74,"Chasing Daylight","Nieuwe gronden","Island, The","Akai tenshi","Sakura no sono","Portile albastre ale orasului","Mi Puerto Rico","Time with Nyenne","Bear Country","Copi, je t'aime"
30,107.56,20.38,"Bang Bang","Brothers... On Holy Ground","Baddegama","Brothers... On Holy Ground","Ride, The","Meteo","Jagadeka Veeruni Katha","Marathon","Up for Grabs","Middle of the Moment"
66,54.88,87.95,"Off","Wana","Snell Show, The","Legend of the Boy and the Eagle, The","Maso et Miso vont en bateau","Stalked","Pelli Chesi Choodu","Elephant Boy","Raggedy Ann and Raggedy Andy","Story from Bhutan: The Making of 'Travellers & Magicians', A"
46,63.35,234.27,"Classic Queen","Justicero, El","Mboutoukou","Ennio Morricone: la musica negli occhi","Camp Pacific","Mil e Uma","Chibideka monogatari","Kiss on the Nose, A","Pleasure Pill","Hempmento"
42,76.44,51.87,"Last Stand","Preservation","Stay Clean","Names of Sin","To Be Alive!","Challenge","Satyakam","Out of the Rain","Super Bitchin' Muscle Car","Distinto amanecer"
53,88.9,34.11,"Oil Factor: Behind the War on Terror, The","Letzte Rache, Die","Devchata","Celebration: The Music of Pete Townshend and The Who","Cog","Tosca","Jonas","Era outra vez","Prodigy, The","Schlacht der Idioten, Die"
50,66.74,31.58,"Nadodikkattu","As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty","Guarding Eddy","Mighty Times: The Legacy of Rosa Parks","Hopscotch","Volshebnoye koltso","Classic Queen","BattleGround: 21 Days on the Empire's Edge","John Henry and the Inky-Poo","Grauzone"
68,57.71,62.77,"Grande Mentecapto, O","Tino","Tom's Wife","Akai tenshi","State of Wonder","Uncrating and Assembly of the P-47 Thunderbolt Airplane","Snegurochka","Viaje sin destino","Radevou ston aera","Devil Talk"
50,73.12,41.46,"Punto y raya","Adaptatziya","Punto y raya","Murder of Fred Hampton, The","Pictures at an Exhibition","Wana","Tasty","Stagestruck: Gay Theatre in the 20th Century","Baiju Bawra","Prazdnik svyatogo Yorgena"
59,51.9,3.09,"Sveto mesto","Crude","Soliloquy","Death by Design: Where Parallel Worlds Meet","Darcy's Off-White Wedding","Akkareakkareakkare","Ojos llenos de amor, Los","Andalousie","Amazones 2000","Simulacrum"
52,53.63,0.81,"Aru eiga-kantoku no shogai","Flip","Pyramide humaine, La","Wide Asleep","Aufbruch, Der","Ister, The","Space Available","Justicero, El","Backjumping","Ningen no joken III"
57,55.81,26.3,"Home for the Bullets, A","Crazy Love","Yvonne Netter, avocate","Pillowfight","Stalked","Atrapados","Pianeta azzurro, Il","More Than Famous","Descent","Enter Achilles"
66,72.11,0.67,"Thanatos","American Pictures","Free Frenchman, The","Vita difficile, Una","Keeper of the Past","Tie Xi Qu: West of the Tracks - Part 3: Rails","Robin's Nest","Bunker - Die letzten Tage","Threshold: The Blue Angels Experience","Snell Show, The"
45,67.01,7.11,"Ninjo kami fusen","Halmat na borovinkite","Amants de Teruel, Les","Preservation","Good Fight, The","Skazki... skazki... skazki starogo Arbata","Silent Whispers","Fazilet","Noam Chomsky: Personal Influences","Escuela de vagabundos"
36,89.96,18.16,"Empty Building, The","Soul to Soul","Pillowfight","Last Man Running","Anuradha","Half Sister","Devadasu","Planetata na sakrovishtata","Meet the Stars: Meet Roy Rogers","Defilada"
28,76.37,29.57,"Crazy Love","Wired 03:36","Hell-Bent for Election","Shojo Hanazono","Mutual Admiration Society","Canceled Lives: Letters from the Inside","Alone Across Australia","Blaze Orange","Insomnia Is Good for You","Andalousie"
50,46.13,30.24,"Thunder in Guyana","Tino","Memory of Justice, The","Tabiate bijan","Phantom Submarine, The","Stalked","It's a Bird","Bear Country","Evidencia invisible","Juntos, in any way"
26,51.03,58.52,"Maskerade","Canceled Lives: Letters from the Inside","Body Language","J-K Conspiracy, The","Berge in Flammen","Young Gentlemen","Justicero, El","Kureopatora","Latitude Zero","J-K Conspiracy, The"
55,63.8,14.31,"David Nelson Live","Travail","Rideaux blancs, Les","D.I.Y. or Die: How to Survive as an Independent Artist","Igazi Mao, Az","Baiju Bawra","Hamster PSA","Veronika's Birthday","Throwing Down","Mighty Times: The Legacy of Rosa Parks"
34,84.56,30.68,"Curtis","Myster General, The","Goodnite Charlie","Perfect Eyes","Gundamma Katha","Bari Theke Paliye","Ringgit Kasorrga","Svatbite na Yoan Asen","Edsville","Blue in Green"
36,74.54,161.65,"Memories of War","Spandex: A Father's Tale","Classic Queen","Remembering November","Big Question, The","Goodnite Charlie","Plus rien...","Starting Up","Thisavros tou makariti, O","Maman que man"
65,103.42,15.91,"Spaceman","Pictures from a Revolution","Tea with Tiffany","Bharatham","V ogne broda net","Mission: Space","Ai to nikushimi no kanata e","Snookles","P.E.","Three Barbecues: A Blackened Comedy"
57,42.82,37.09,"One of Us","Tailspin Tommy in The Great Air Mystery","Elephant Boy","Yurusarezaru mono","Leng mian hu","Nackte Mann auf dem Sportplatz, Der","Uramisten","We Are the Champions","Busting Out","Dani, Michi, Renato & Max"
28,78.93,26.04,"Out of the Rain","Tom's Wife","Mona Lisa Descending a Staircase","Thanatos","Handvoll Helden, Eine","Drifting","Moondram Pirai","Mona Lisa Descending a Staircase","Sister Helen","PX"
53,52.72,1.56,"Adaptatziya","Driving Fish","Reasonable Hypothesis, A","Mighty Times: The Legacy of Rosa Parks","Legend of the Boy and the Eagle, The","Wide Asleep","Latitude Zero","Enter Achilles","Milagro of Boyle Heights, The","Dieses Jahr in Czernowitz"
35,98.91,20.03,"Dusk","Aapathbandavudu","Martin Four","Tabiate bijan","Diary of a Bad Lad","Victim, The","War Story","Most","Clown","Message From Moonbase Alpha"
56,86.58,20.43,"Stalked","Tupperware!","Starting Up","Last Stand","Erosu purasu Gyakusatsu","Thanatopsis","Silent Whispers","Andalousie","Inner Circle, The","Merika"
47,84.76,91.89,"Tino","Three of Us, The","Self Defense... for Cowards","Iparhi kai filotimo","Boldog lovak","Maison de jade, La","Hell-Bent for Election","Herrenpartie","Nackte Mann auf dem Sportplatz, Der","Sceny narciarskie z Franzem Klammerem"
47,60.96,63.98,"Vita difficile, Una","Oil Factor: Behind the War on Terror, The","Sceny narciarskie z Franzem Klammerem","Chomana Dudi","Saturday Night at the Palace","Cicadas","Anne of Green Gables","Boldog lovak","Fantasmas burlones, Los","Igazi Mao, Az"
27,75.19,60.27,"Mutual Admiration Society","Staromodnaya komediya","Amazones 2000","Mil e Uma","Obedience","Allegro ma non troppo","Thanatos","Born In Freedom: The Story of Colonel Drake","Halmat na borovinkite","Grauzone"
59,39.39,6.33,"Yvonne Netter, avocate","Fara","Latitude Zero","Silent Whispers","One Dog Day","Catene","Wana","Mukta","Bashta mi boyadzhiyata","Ritzar bez bronya"
29,65.88,16.35,"Ketchup and Mustard Man, The","Land of Look Behind","Konyok-gorbunok","Hell-Bent for Election","Experiment, Das","Kiga kaikyo","Date, The","Yurusarezaru mono","2wks, 1yr","Dalu"
32,78.84,15.62,"Two Days with Juliet","Vers l'Inde","Ister, The","Planetata na sakrovishtata","Descent","Slyozy kapali","Kaidan Oiwa no borei","Ovo malo duse","Ninjo kami fusen","Perils in Nude Modeling"
46,80.59,11.17,"Quintrala, La","Falling Words","Tasty","P mesle pelican","Tosca","Icarus Descending","Brooms","Experiment, Das","Latitude Zero","Original Schtick"
26,75.62,22.83,"Ringgit Kasorrga","Camp Pacific","Vita difficile, Una","Glissando","Defilada","Raggedy Ann and Raggedy Andy","Rain, Drizzle, and Fog","Flip","Reshimat Ahava","Shiriusu no densetsu"
36,63.65,77.71,"Verdugo, El","Curtis","Screw","Stalked","Devils Are Dreaming","Akai tenshi","Goodnite Charlie","Genet parle d'Angela Davis","Inner Circle, The","Start of Something, The"
44,22.43,17.86,"Aien kyo","Out of Our Dens: The Richard and the Young Lions Story","Theory of Revenge","Dieses Jahr in Czernowitz","Aien kyo","Ren Sheng","Optimisticheskaya tragediya","Crazy Love","Boldog lovak","Ciprian Porumbescu"
32,63.4,9.18,"Starting Up","Taffy Was Born","Bleach","American Exile","Nahapet","Pictures from a Revolution","Hempmento","Black Canyon","Marathon","Selubung"
46,50.15,48.49,"Matanza","Start of Something, The","Up Uranus!","American Yearbook","TankUp.US","Deedar","Thunder in Guyana","Kiss on the Nose, A","Crazy Love","Ponchada"
38,59.57,5.76,"Fazilet","Simitrio","More Than Famous","Peaceable Kingdom","King of the Hill","Tie Xi Qu: West of the Tracks - Part 1: Rust","Alone Across Australia","Berlin Berlin","Terrorists","Perfect Eyes"
61,90.37,57.61,"Strange Aeons","Shock Act","Genet parle d'Angela Davis","Precious Images","Maman que man","Challenge","Stagestruck: Gay Theatre in the 20th Century","Inner Circle, The","Maso et Miso vont en bateau","Piggy Bank"
37,60,18.83,"Kradetzat na praskovi","New World, The","Consent","Erosu purasu Gyakusatsu","Wedding Advice: Speak Now or Forever Hold Your Peace","Dozen Kliks, A","Cicadas","Satyakam","500 Years Later","We Are the Champions"
19,74.29,55.78,"Last Stand","Martin Four","Dating","Dating","Morometii","Pulso, O","Final Solution","Silver Bells","Cachorros","Dozen Kliks, A"
34,82.58,28.31,"Satellite","Eating","Mutual Admiration Society","Morphin(e)","Pleasure Pill","One of Us","Snookles","Bench, The","Silent Whispers","Dimensia Minds Trilogy: The Reds"
53,62.08,13.82,"Quintrala, La","Innocence Project, The","Ketchup and Mustard Man, The","Burning the Grump","V ogne broda net","Vita difficile, Una","Plight of Clownana, The","Suspension of Disbelief","That Thing We Do","Ivan Groznyy III"
38,68.38,71.23,"Step Across the Border","Shura","Normal Love","Freak Orlando","Taffy Was Born","Bingo! The Documentary","Mind Game","Story","Da no tien gu","Anuradha"
45,47.42,6.42,"Life of Larry, The","Unconquered, The","Backjumping","Adamah","Sky of an Archangel","Matriarhat","Murder of Fred Hampton, The","Kommunist","Drive-by Shooting","Night of a Thousand Screams"
22,91.84,18.63,"Lachenite obuvki na neznayniya voin","Thunder in Guyana","Sveto mesto","Doing Time, Doing Vipassana","Odin shans iz tysyatsi","Ammazzali tutti e torna solo","Let's Rock Again!","Change Up","Satyakam","Metropolitan"
34,71.76,14.21,"Boys of Venice, The","Story from Bhutan: The Making of 'Travellers & Magicians', A","Atsidas, O","Unbekannte Deserteur, Der","Drugiyat nash vazmozhen zhivot","Little Failures","Yvonne Netter, avocate","Tupperware!","Western","Embun"
23,86.03,56.87,"Murder Act One","Most Boring Woman in the World, The","Young Americans","Garriage: A Documentary in 4 Chapters and an Epilogue","Half Sister","Shock Act","Cut and Run","Burying Dvorak","Handicap","Emily's Last Date"
41,68.02,17.91,"Home for the Bullets, A","Optimisticheskaya tragediya","Grass Arena, The","Fim de Festa","Slyozy kapali","Ixe","Pee Shy","Ivan Groznyy III","Pillowfight","Busting Out"
26,84.37,27.78,"Wedding Advice: Speak Now or Forever Hold Your Peace","Monster Road","Dimensia Minds Trilogy: The Hope Factor","Hell-Bent for Election","Falling Words","Na voyne, kak na voyne","Orekhovyy khleb","Leng mian hu","Scomparsa","Rent's Due"
24,62.6,7.53,"Justicero, El","Ai to nikushimi no kanata e","Bronx Cheers","Piata Universitatii - Romania","Drive-by Shooting","Khaneh siah ast","Cleopatra","Body Language","Simitrio","Custodial Code, The"
64,82.36,7.64,"Sembilu II","Okkadu","Three of Us, The","Cerebrium","If","Class of 83","Offering, The","Mimmo & Paulie","Thunder in Guyana","Vacant Possession"
55,47.9,11,"Staromodnaya komediya","Portile albastre ale orasului","Able's House Is Green, The","Avantazh","Sky of an Archangel","Ride","Pudeur ou l'impudeur, La","Three of Us, The","Info Wars","Mi Puerto Rico"
33,55.87,35.09,"Tsisperi mtebi anu arachveulebrivi ambavi","Robin's Nest","Blood of the Beast","Sigmund the See Monster","Film Geek","What Is Funny?","Akatsuki no dasso","Champions of the World","Kyriakatiko xypnima","Abduction of Figaro"
31,79.13,23.5,"Blue Bird, The","Nemuri Kyoshiro 3: Engetsugiri","Normal Love","Skazki... skazki... skazki starogo Arbata","Plus rien...","Halfway Point","Fantasmas burlones, Los","Brothers... On Holy Ground","Prodigy, The","Wedding Advice: Speak Now or Forever Hold Your Peace"
62,72.17,6,"Jantjes, De","Staromodnaya komediya","Wana","Plus rien...","Okkadu","Victim, The","Cookery for Men","Nozze di Figaro, Le","Kiga kaikyo","Behind the Mascot"
50,51.36,17.46,"Fascinating Nature","Under-Pup, The","Time with Nyenne","Plight of Clownana, The","Sister Helen","Breakup Film, The","Pleasure Pill","Hardwood Process","Fantasmas burlones, Los","Atrapados"
41,86.97,138.07,"Drugiyat nash vazmozhen zhivot","Tailspin Tommy in The Great Air Mystery","Viaje sin destino","Morphin(e)","Henry and Marvin","Avantazh","Perils in Nude Modeling","Fazilet","Oath, The","Kyriakatiko xypnima"
69,77.32,111.03,"Cookery for Men","Ai-Fak","Dirty Diamonds","Anne of Green Gables","Today Was Thursday","Martin Four","Cog","Andalousie","Meteo","Dai chushingura"
21,92.96,87.17,"I Am My Resume","Born In Freedom: The Story of Colonel Drake","Silent Whispers","Manipulation","Daniel's Spark","Canceled Lives: Letters from the Inside","Vestido, O","Bingo! The Documentary","Terrorists","Pee Shy"
20,87.03,39.08,"San ge heshang","Remembering November","Miami","Guarding Eddy","Soul to Soul","Taste the Sweat!","Innocence Project, The","Standing by Yourself","Insomnia Is Good for You","Strange Aeons"
39,88.4,34.59,"Bari Theke Paliye","Examen","Shades","Goal Club","Nun Fu","Champions of the World","Bint El-Harass","Info Wars","Groove Requiem in the Key of Ski","Narrow Trail, The"
54,61.88,35.2,"Mr. James and the Plug of Mystery","Able's House Is Green, The","Luba","Brooms","Moonlight in Vermont","Na klancu","Old Ironsides","Chanoc y el hijo del Santo contra los vampiros asesinos","Biyaya ng lupa","That Thing We Do"
64,79.39,25.51,"Opasen char","Bunker - Die letzten Tage","Starting Up","Hardwood Process","Obedience","Justicero, El","Earl's Your Uncle","New World, The","Pyramide humaine, La","Ai-Fak"
63,63.68,114.99,"Plight of Clownana, The","Messe pour un corps","Era outra vez","Bint El-Harass","Cabina, La","F*Stop","Hot Java","Dead Skunk","Taking Tiger Mountain","Sechse kommen durch die Welt"
