"age","income","months_subbed","upgrade"
30,86.38,63,1
33,78.12,61,1
29,105.29,43,1
31,79.32,55,1
23,72.24,4,0
21,74.79,5,0
40,62.45,21,0
32,105.86,71,0
27,83.3,66,1
32,67.94,19,1
44,87.97,69,0
33,97.18,66,0
40,71.56,13,1
40,73.89,37,0
27,78.82,20,1
35,39.96,43,0
25,83.11,28,0
20,80.85,56,1
22,74.76,57,0
29,59.58,16,0
43,101.31,72,0
31,70.85,38,0
24,82.71,33,0
32,122.26,20,0
35,68.16,53,0
21,66.63,60,1
23,83.08,16,0
16,74.29,51,1
21,70.15,74,0
24,88.2,7,1
28,84.59,15,1
40,58.51,31,0
36,52.38,6,0
32,91.96,23,1
26,63.21,64,0
30,60.89,21,1
34,104.72,17,1
26,81.52,41,1
37,69.21,42,1
38,95.47,4,1
22,106.09,36,0
25,99.7,78,0
38,59.77,41,1
18,67.88,55,0
33,86.33,52,1
32,52.71,3,0
52,72.36,23,1
11,79.71,15,1
24,78.69,14,0
35,84.47,52,0
42,83.66,18,1
36,97.81,2,1
20,78.94,64,1
46,63.4,26,1
18,77.58,66,1
22,75.81,40,0
30,80.79,68,1
46,109.62,72,1
34,91.33,5,0
35,115.79,76,0
42,102.28,60,1
37,115.88,73,1
21,52.71,40,0
35,65.85,75,0
29,68.87,51,1
42,73.8,25,0
28,72.48,42,0
19,89.17,70,1
33,54.78,42,0
32,69.45,42,0
30,68.86,21,1
23,72.51,77,0
24,67.91,48,0
30,104.06,51,1
37,95.38,63,1
27,84.77,61,1
24,51.7,28,1
11,138.68,52,1
33,98.7,43,1
33,104.68,64,0
39,42.17,80,1
40,75.55,52,1
29,95.36,36,0
39,87.76,27,1
30,92.18,43,0
25,91.81,44,1
24,71.3,54,0
28,74.98,80,0
32,61.47,27,0
30,101.75,12,1
31,41.12,38,0
31,74.39,56,0
35,96.24,20,1
28,75.85,53,0
41,109.02,30,1
33,96.83,68,1
22,62.69,74,0
28,78.8,2,0
34,80.23,57,1
27,85.38,9,0
32,69.44,25,1
33,67.66,45,1
39,74.75,9,1
25,98.25,15,0
30,102.47,20,1
26,67.93,27,0
22,81.11,38,1
17,59.99,60,1
31,64.84,37,0
34,67.77,39,1
34,53.67,53,1
20,39.85,18,1
22,95.36,10,0
22,88.12,31,0
25,63.37,62,0
31,99.16,77,1
34,116.21,73,1
24,29,76,1
10,103.01,30,0
37,104.56,27,0
34,83.04,50,1
25,69.54,75,1
22,57.97,11,1
28,62.41,59,1
31,67.27,31,1
35,37.88,65,1
40,67.07,52,1
24,99.74,14,0
32,64.9,33,1
39,111.3,6,1
24,79,55,0
28,82.22,73,0
18,89.51,32,0
32,61.22,19,0
26,64.52,70,0
24,71.53,22,1
25,115.46,68,0
33,88.53,47,1
15,78.11,35,1
27,57.67,5,0
23,78.25,46,0
23,87.85,58,0
33,72.79,77,1
32,62.24,73,1
29,61.07,26,1
34,75.6,37,1
26,86.84,32,0
16,99.4,4,1
38,53.29,5,0
28,63.98,23,0
27,39.06,34,1
31,82.2,24,0
35,94.32,29,1
33,85.08,68,1
36,104.58,29,0
30,91.67,69,0
26,68.26,17,0
28,108.93,50,0
36,88.87,24,1
24,91.56,29,0
23,61.56,37,1
32,75.01,36,1
34,55.56,37,0
18,78.55,60,0
35,107.3,13,1
30,70.85,64,0
29,81.3,60,0
38,95.68,77,1
40,48.25,55,1
22,52.61,10,1
37,61.45,7,1
26,86.02,52,1
31,81.61,7,1
33,104.93,49,1
31,55.31,65,0
20,71.22,4,0
26,37.97,19,0
41,112.38,34,1
31,101.69,24,1
24,67.18,24,0
25,74.94,50,0
37,77.3,11,1
32,115.91,78,1
24,80.77,48,1
30,88.26,67,0
34,93.99,2,1
42,93.8,50,0
24,46.58,69,1
27,94.8,21,0
37,61.52,75,1
27,79.37,53,1
40,41.44,72,1
37,84.29,40,1
18,59.9,66,1
33,36.42,46,1
20,46.55,48,0
20,51.59,74,1
30,91.01,46,1
30,86.21,64,0
30,93.7,37,0
39,69.36,27,1
32,83.64,19,1
25,88.23,32,0
31,78.3,47,1
26,57.87,45,0
30,102.58,62,1
22,113.36,1,0
29,120.38,9,0
31,97.85,37,0
25,76.26,33,0
30,77.45,36,1
25,73.89,30,0
25,74.74,64,0
29,78.97,50,0
33,40.55,1,1
29,80.22,16,0
31,84.71,56,1
37,60.99,67,1
28,44.86,9,1
29,72.8,25,0
34,17.57,3,0
21,113.45,72,0
34,93.81,52,0
26,60.47,25,0
22,80.3,6,0
18,76.69,71,0
25,46.8,46,1
22,62.43,30,1
22,99.32,9,0
41,56.88,60,1
22,64.97,1,0
37,65.1,49,1
34,104.54,46,1
24,76.18,38,1
26,91.09,11,0
27,95.43,75,0
31,72.4,19,1
28,57.43,46,0
36,83.4,27,1
28,72.83,54,1
15,108.86,17,0
29,69.6,36,0
17,73.79,11,1
37,93.65,28,1
25,66.73,14,0
22,79.64,79,0
26,89.93,29,0
34,71.91,34,0
17,55.77,19,1
32,86.25,45,0
23,74.4,74,0
30,39.6,51,1
35,85.39,64,1
34,82.64,46,1
41,46.42,58,1
31,69.48,74,1
25,76.5,68,0
45,68.87,11,0
28,91.04,61,0
36,48.48,30,0
37,60.91,44,0
33,71,11,1
40,108.88,7,0
29,76.89,20,0
21,59.57,1,0
27,110.77,55,1
26,75.38,73,1
32,91.04,64,1
23,102.44,37,1
35,88.19,80,1
22,106.01,58,1
42,64.18,56,1
40,111.97,59,1
27,43.54,31,1
31,60.49,60,1
27,68.27,13,1
22,84.66,78,1
11,70.53,53,0
30,91.66,33,0
30,88.4,66,1
41,93.58,9,1
16,109.65,27,0
25,51.49,35,1
36,99.4,49,0
32,74.69,12,1
31,63.94,48,1
26,44.46,38,1
31,63.02,28,1
28,74.01,69,0
31,41.2,63,0
26,72.8,48,1
38,90.2,7,0
37,54.04,72,0
39,79.9,78,1
27,53.1,11,0
28,78.97,42,0
28,97.9,47,1
40,36.4,54,1
28,126.13,45,0
31,56.64,44,1
33,98.81,34,1
35,121.58,8,1
28,61.12,16,0
46,66.49,58,1
24,100.43,4,0
20,63.65,37,0
30,60.86,76,1
42,111.62,13,1
30,115.33,55,0
31,75.46,52,1
36,125.62,9,1
29,118.07,3,0
31,78.63,57,1
38,63.72,75,0
31,66.53,27,0
25,108.04,16,0
33,90.8,23,1
22,92.85,37,0
20,79.75,46,1
29,83.66,77,0
22,70.23,34,0
34,102.7,7,0
29,73.48,65,0
25,119.84,76,0
41,91.74,47,0
29,99.77,63,1
40,109.51,9,1
29,79.06,61,1
28,44.65,24,0
33,67.81,2,1
37,91.87,32,0
49,104.07,33,1
23,84.17,5,0
29,96.78,7,1
38,98.86,7,1
32,100.56,20,1
29,94.95,58,0
21,76.17,54,1
28,100.49,18,1
29,69.92,16,1
29,86.97,21,0
41,69.81,69,1
27,89.56,12,1
19,90.02,42,1
33,77.89,50,1
29,80.55,5,1
29,88.67,34,1
34,57.38,65,1
10,100.41,77,0
26,85.39,23,0
29,90.97,66,1
34,76.61,13,1
28,42.43,48,0
23,94.97,71,1
33,74.8,22,0
30,92.37,50,0
31,120.96,54,1
38,56.89,55,1
26,107.06,10,0
21,72.65,50,0
21,78.83,33,1
23,69.36,20,1
20,70.03,2,0
30,57,41,1
43,82.52,5,1
29,89.46,35,0
35,76.27,47,1
22,47.61,21,0
28,71.94,13,1
34,88.26,5,0
28,65.59,14,0
35,68.2,55,1
35,56.61,24,1
26,91.83,21,0
25,66.63,50,0
47,143.36,73,0
29,100.26,37,1
30,76.68,67,1
30,80.05,78,0
26,65.65,31,0
24,85.63,62,0
22,80.15,51,1
36,45.41,75,1
23,43.13,66,0
35,92.02,5,1
40,33.64,32,1
38,72.39,34,1
29,113.1,80,1
26,46.74,13,1
22,85.89,57,0
30,111.4,6,1
28,90.24,38,1
31,105.72,11,1
26,60.65,42,1
34,92.65,11,1
35,83.66,39,1
38,107,43,0
46,129.75,72,1
31,82.29,53,1
26,101.91,72,0
29,71.95,19,0
19,72.82,45,0
31,68.94,52,1
27,52.91,36,0
33,81.47,53,1
28,79.22,58,0
20,94.44,27,1
30,75.7,23,1
21,61.69,2,1
36,77.43,42,1
17,116.8,44,0
29,89.01,35,0
33,85.5,23,1
19,101.13,7,0
40,115.84,71,1
24,114.22,24,1
26,71.37,7,1
31,78.41,12,1
28,72.74,74,1
23,75.98,66,0
33,89.03,46,0
26,70.4,11,1
34,56.69,53,0
26,75.22,37,1
23,109,74,1
29,117.06,14,0
35,71.94,77,1
32,96.54,43,1
30,77.42,29,1
16,77.57,26,0
40,66.51,65,0
30,48.43,79,0
24,116.04,40,1
29,96.02,30,1
32,44.15,73,1
19,73.05,62,1
35,111.09,33,1
32,82.13,52,1
38,83.85,13,1
37,96.98,60,0
26,99.81,72,0
27,92.55,68,1
23,88.3,29,0
27,109.5,26,1
37,114.19,15,1
43,84.57,11,1
36,75.84,29,1
17,80.24,60,1
36,86.99,25,1
37,66.45,15,1
34,92.84,76,1
24,54.21,73,0
37,124.52,26,1
35,30.33,12,1
35,83.46,71,1
27,78.82,1,0
36,90.95,33,1
31,71.79,12,0
30,128.05,80,1
40,77.12,25,1
35,80.47,33,0
10,102.48,78,1
27,93.96,13,1
20,83.62,64,1
34,76.61,67,1
27,75.31,75,1
36,52.9,34,1
33,92.6,8,1
30,88.95,5,1
29,59.12,70,0
27,76.25,41,1
31,105.75,22,0
22,105.48,35,0
35,55.58,65,0
27,96.04,22,0
25,82.54,3,0
28,87.77,30,1
43,62.56,67,1
18,75.86,72,1
28,38.83,31,1
31,65.22,61,1
26,73.87,35,1
27,106.07,44,0
33,58.83,73,1
32,86.03,32,1
25,81.8,52,1
34,52.73,51,1
31,85.65,44,1
35,111.61,57,1
21,98.8,64,1
25,102.63,13,0
29,75.73,16,1
37,99.16,23,0
26,32.58,8,1
23,54.93,7,0
35,76.5,69,1
33,82.17,5,1
21,90.34,74,1
44,94.43,22,1
40,70.8,56,1
20,70.37,77,1
45,73.01,40,0
18,68.76,56,0
31,77.51,74,1
22,97.55,4,0
27,89.27,45,1
28,71.21,9,0
32,66.15,52,1
22,77.91,6,0
11,75.84,44,0
29,104.39,44,0
25,34.59,62,1
31,60.53,19,0
24,92.42,11,1
36,93.25,78,0
30,66.98,26,0
34,75.83,58,1
23,115.94,34,0
29,58.02,15,1
32,115.55,5,1
29,86.34,76,0
42,100.99,63,0
16,69.47,54,0
35,57.6,47,0
30,87.97,78,0
37,88.43,20,1
29,71.5,38,0
11,62.46,51,0
33,106,58,1
28,53.26,46,1
23,108.58,48,0
25,68.11,20,1
30,42.35,12,0
47,123.61,42,0
31,87.58,58,1
23,58.61,19,0
43,72.5,38,1
27,64.1,57,1
24,86.3,67,1
21,82.68,7,1
25,55.19,71,0
44,85.13,46,0
36,66.52,16,1
35,92.66,64,1
31,92.05,76,0
32,79.32,47,1
34,64.21,80,1
32,70.59,18,0
31,59.74,63,1
37,96.67,12,1
29,107.08,22,1
32,81,5,1
24,86.74,23,1
41,75.82,54,0
40,84.37,52,1
17,117.47,46,1
28,85.23,40,0
34,106.69,42,1
33,84.95,14,0
35,52.48,61,1
27,56.19,62,1
