"Item_Name","Item_Description","Food_Category","Calories","Total_Fat","Saturated_Fat","Trans_Fat","Cholesterol","Sodium","Potassium","Carbohydrates","Protein","Sugar","Dietary_Fiber","Calories_100g","Total_Fat_100g","Saturated_Fat_100g","Trans_Fat_100g","Cholesterol_100g","Sodium_100g","Potassium_100g","Carbohydrates_100g","Protein_100g","Sugar_100g","Dietary_Fiber_100g"
"Double Hamburger","Double Hamburger, Flame Broiled Burgers","Burgers",310,15,6,1,60,400,NA,26,18,NA,1,250,12,5,1,48,323,NA,21,15,NA,1
"Double Cheeseburger","Double Cheeseburger on a Toasted Sesame Seed Bun w/ 2 Flame Grilled Beef Patties, American Cheese, Pickles, Yellow Mustard & Ketchup, Value Menu, King Deals Value Menu, Burgers","Burgers",360,18,8,1.5,70,580,NA,27,20,7,1,267,13,6,1,52,430,NA,20,15,5,1
"Whopper Sandwich w/ Mayo","Whopper Sandwich on a Sesame Seed Bun w/ Mayo, 1/4 lb Flame Grilled Beef, Tomatoes, Lettuce, Mayonnaise, Onions, Ketchup & Pickles, Whopper Sandwiches, Burgers","Burgers",630,38,11,1.5,85,810,NA,49,26,11,2,242,15,4,1,33,312,NA,19,10,4,1
"Whopper Sandwich w/ Cheese & Mayo","Whopper Sandwich w/ Cheese & Mayo, Whopper Sandwiches","Burgers",710,45,15,1.5,105,1160,NA,50,30,11,2,251,16,5,1,37,410,NA,18,11,4,1
"Double Whopper Sandwich w/ Mayo","Double Whopper Sandwich on a Sesame Seed Bun w/ 2 Quarter Pound Flame Grilled Beef Patties, Tomatoes, Lettuce, Onions, Mayonnaise, Ketchup & Pickles, Whopper Sandwiches, Burgers","Burgers",850,54,18,2.5,155,870,NA,49,43,11,2,249,16,5,1,45,255,NA,14,13,3,1
"Double Whopper Sandwich w/ Cheese & Mayo","Double Whopper Sandwich w/ Cheese & Mayo, Whopper Sandwiches","Burgers",930,61,22,3,180,1230,NA,50,48,11,2,260,17,6,1,50,344,NA,14,13,3,1
"BK Veggie Burger w/ Mayo","BK Veggie Burger on a Sesame Seed Bun w/ Mayo, Lettuce, Tomatoes, Onions, Pickles & Ketchup, Chicken & More, also called Morningstar Veggie Burger","Burgers",390,15,2.5,0,5,1060,NA,42,22,9,6,178,7,1,0,2,484,NA,19,10,4,3
"Bacon Cheeseburger","Bacon Cheeseburger on a Toasted Sesame Seed Bun w/ Flame Grilled Beef Patty, Smoked Bacon, American Cheese, Pickles, Yellow Mustard & Ketchup, Value Menu, King Deals Value Menu","Burgers",280,13,6,0.5,45,630,NA,27,14,7,1,259,12,6,0,42,583,NA,25,13,6,1
"BK Veggie Burger","BK Veggie Burger w/out Mayo, Chicken & More","Burgers",310,7,1,0,0,990,NA,42,22,9,6,148,3,0,0,0,474,NA,20,11,4,3
"Bacon Double Cheeseburger","Bacon Double Cheeseburger on a Toasted Sesame Seed Bun w/ 2 Beef Patties, Smoked Bacon, American Cheese, Pickles, Yellow Mustard & Ketchup, Flame Broiled Burgers, Burgers, Value Menu, King Deals Value Menu","Burgers",370,20,9,1.5,75,660,NA,27,21,7,1,266,14,6,1,54,475,NA,19,15,5,1
"Double Whopper Sandwich w/ Cheese","Double Whopper Sandwich w/ Cheese w/out Mayo, Whopper Sandwiches","Burgers",770,43,19,2.5,170,1090,NA,50,47,11,2,228,13,6,1,50,323,NA,15,14,3,1
"Double Whopper Sandwich","Double Whopper Sandwich w/out Mayo, Whopper Sandwiches","Burgers",690,36,15,2.5,145,730,NA,49,43,11,2,216,11,5,1,45,229,NA,15,13,3,1
"Whopper Sandwich w/ Cheese","Whopper Sandwich w/ Cheese w/out Mayo, Whopper Sandwiches","Burgers",560,27,12,1.5,95,1030,NA,50,30,11,2,214,10,5,1,36,393,NA,19,11,4,1
"Whopper Sandwich","Whopper Sandwich w/out Mayo, Whopper Sandwiches","Burgers",470,20,8,1,75,670,NA,49,26,11,2,197,8,3,0,31,280,NA,21,11,5,1
"Rodeo Burger","Rodeo Burger, King Deals Value Menu","Burgers",310,12,4,0.5,30,440,NA,38,12,9,1,279,11,4,0,27,396,NA,34,11,8,1
"Bacon Cheeseburger Deluxe","Bacon Cheeseburger Deluxe, Flame Broiled Burgers, King Deals Value Menu","Burgers",290,13,6,0.5,45,640,NA,28,14,7,1,209,9,4,0,32,460,NA,20,10,5,1
"Bacon & Cheese Whopper Sandwich","Bacon & Cheese Whopper Sandwich on a Sesame Seed Bun w/ Quarter Pound Burger, Smoked Bacon, American Cheese, Lettuce, Tomatoes, Ketchup, Pickles, Onions & Mayo, Whopper Sandwiches, Burgers","Burgers",750,49,16,2,115,1260,NA,46,33,8,2,269,18,6,1,41,452,NA,16,12,3,1
"Extra Long Cheeseburger","Extra Long Cheeseburger on a Toasted Hoagie Bun w/ 2 Beef Patties, Onions, Lettuce, American Cheese, Mayo & Ketchup, Flame Broiled Burgers, Burgers","Burgers",590,34,13,1.5,90,1040,NA,45,26,9,2,277,16,6,1,42,488,NA,21,12,4,1
"Bacon King Sandwich","Bacon King Sandwich on Sesame Seed Bun w/ 2 Beef Patties, Bacon, American Cheese, Ketchup & Mayonnaise, Burgers, also called Double Bacon King","Burgers",1040,69,28,2.5,220,1900,NA,48,57,10,1,318,21,9,1,67,581,NA,15,17,3,0
"Homestyle Cheeseburger","Homestyle Cheeseburger on Sesame Seed Bun w/ 1/4 lb Beef, American Cheese, Pickles, Mustard & Ketchup, Flame Broiled Burgers, Burgers","Burgers",550,27,12,1.5,95,1140,NA,48,30,10,2,259,13,6,1,45,538,NA,23,14,5,1
"Bacon Cheeseburger, Flame Broiled Burgers","Bacon Cheeseburger, Flame Broiled Burgers","Burgers",300,15,6,1,50,710,NA,27,15,7,1,270,14,5,1,45,640,NA,24,14,6,1
"Famous Star w/ Cheese","Famous Star on a Seeded Bun w/ All Beef Patty, American Cheese, Lettuce, Tomato, Onions, Dill Pickles, Special Sauce & Mayonnaise, Charbroiled Burgers","Burgers",670,37,13,1,75,1210,NA,57,28,13,3,236,13,5,0,26,426,NA,20,10,5,1
"Super Star w/ Cheese","Super Star on a Seeded Bun w/ 2 Charbroiled Beef Patties, 2 Slices of American Cheese, 2 Slices of Tomato, Sliced Onions, Dill Pickles, Special Sauce & Mayonnaise, Charbroiled Burgers","Burgers",930,56,23,2,140,1540,NA,59,48,14,3,238,14,6,1,36,395,NA,15,12,4,1
"Western Bacon Cheeseburger","Western Bacon Cheeseburger on a Seeded Bun w/ Charbroiled Beef Patty, 2 Strips of Bacon, American Cheese, 2 Onion Rings & Tangy BBQ Sauce, Charbroiled Burgers","Burgers",750,35,14,1,80,1650,NA,75,36,16,4,300,14,6,0,32,660,NA,30,14,6,2
"Double Western Bacon Cheeseburger","Double Western Bacon Cheeseburger on a Sesame Seed Bun w/ 2 Beef Patties, Bacon, BBQ Sauce, American Cheese & Onion Rings, Charbroiled Burgers","Burgers",1010,55,24,2,150,1980,NA,76,55,16,4,304,17,7,1,45,596,NA,23,17,5,1
"Big Hamburger","Big Hamburger on a Sesame Seed Bun w/ Beef Patty, Ketchup, Mustard, Yellow Onions & Dill Pickle Chips, Charbroiled Burgers","Burgers",480,18,8,0.5,50,870,NA,56,25,13,3,236,9,4,0,25,429,NA,28,12,6,1
"Hamburger, Kids","Hamburger on a Plain Bun w/ Beef Patty, Ketchup, Mustard & Dill Pickle Chips, Kids, Charbroiled Burgers","Burgers",270,10,3.5,0.5,25,540,NA,33,11,7,1,243,9,3,0,23,486,NA,30,10,6,1
"The Breakfast Burger","The Breakfast Burger on a Seeded Bun w/ All Beef Patty, Bacon, Ketchup, Egg, American Cheese & Hash Brown Nuggets, Breakfast","Burgers",830,44,19,1,255,1540,NA,68,39,13,4,282,15,6,0,87,524,NA,23,13,4,1
"Original All Natural Turkey Burger","Original All Natural Turkey Burger on a Honey Wheat Bun w/ Charbroiled Turkey Burger, Special Sauce, Mayonnaise, Red Onion, Tomato, Whole Leaf Lettuce & Dill Pickle Chips, Better for You Options, All Natural Charbroiled Turkey Burgers","Burgers",490,22,4.5,0,80,1260,NA,45,29,10,3,183,8,2,0,30,470,NA,17,11,4,1
"Famous Star, Trim It","Famous Star on a Honey Wheat Bun w/ Beef Patty, Pickle, Lettuce, Tomato, Onion & Special Sauce, Trim It, Better For You Options","Burgers",430,18,8,0.5,50,610,NA,46,24,10,3,191,8,4,0,22,271,NA,20,11,4,1
"Famous Star w/ Cheese, Gluten Sensitive","Famous Star in a Whole Leaf Iceberg Lettuce Wrap w/ All Beef Patty, American Cheese, Pickle, Tomato, Onion & Mayo, Gluten Sensitive, Better For You Options","Burgers",430,34,13,1,75,720,NA,10,21,5,1,192,15,6,0,33,321,NA,4,9,2,0
"Cheeseburger, Kids","Cheeseburger on a Plain Bun w/ Beef Patty, Ketchup, Mustard, American Cheese & Dill Pickle Chips, Kids, Charbroiled Burgers","Burgers",330,15,7,0.5,40,810,NA,34,14,7,1,260,12,6,0,31,638,NA,27,11,6,1
"Teriyaki Burger","Teriyaki Burger, Charbroiled Burgers","Burgers",630,29,1,11,70,1070,NA,65,28,20,3,199,9,0,3,22,339,NA,21,9,6,1
"Teriyaki All Natural Turkey Burger","Teriyaki All Natural Turkey Burger on a Honey Wheat Bun w/ Turkey Burger, Grilled Pineapple, Teriyaki Glaze, Swiss Cheese, Red Onion, Tomato & Whole Leaf Lettuce, Better for You Options","Burgers",480,14,5,0,85,1440,NA,56,32,20,3,150,4,2,0,27,450,NA,18,10,6,1
"The Big Carl","The Big Carl on a Seeded Bun w/ 2 Beef Patties, 2 Slices of American Cheese, Classic Sauce & Lettuce, Charbroiled Burgers","Burgers",920,58,23,2,140,1380,NA,56,47,12,3,287,18,7,1,44,430,NA,17,15,4,1
"Guacamole Thickburger, Veg It","Guacamole Thickburger on a Sesame Seed Bun w/ Guacamole, Pepper Jack Cheese, Lettuce, Red Onion, Tomato & Special Sauce, Veg It, Better for You Options","Burgers",670,46,10,0.5,45,1330,NA,56,14,13,4,240,16,4,0,16,477,NA,20,5,5,1
"Jalapeno All Natural Turkey Burger","Jalapeno All Natural Turkey Burger on a Wheat Bun w/ Turkey Burger, Santa Fe Sauce, Jalapeno Coins, Pepper Jack Cheese, Red Onion Slices, Tomato & Lettuce, Better for You Options, All Natural Charbroiled Turkey Burgers","Burgers",500,22,6,0,90,1450,NA,43,31,9,3,180,8,2,0,32,522,NA,15,11,3,1
"The 1/2 lb Original Six Dollar Thickburger","The 1/2 lb Original Six Dollar Thickburger on a Fresh Baked Bun w/ Black Angus Beef Patty, 2 Slices of American Cheese, Lettuce, 2 Slices of Tomato, Red Onions, Pickles, Mustard, Mayonnaise & Ketchup, Charbroiled Burgers","Burgers",1050,72,27,3,150,1820,NA,62,40,20,3,251,17,6,1,36,435,NA,15,10,5,1
"The 1/3 lb Original Six Dollar Thickburger","The 1/3 lb Original Six Dollar Thickburger on a Fresh Baked Bun w/ Angus Beef Patty, American Cheese, Lettuce, 2 Slices of Tomato, Red Onions, Pickles, Mustard, Mayonnaise & Ketchup, Charbroiled Burgers","Burgers",830,51,16,2,95,1560,NA,62,29,19,3,239,15,5,1,27,450,NA,18,8,5,1
"The 1/2 lb Guacamole Bacon Thickburger","The 1/2 lb Guacamole Bacon Thickburger on a Fresh Baked Bun w/ Black Angus Beef Patty, Guacamole, 2 Strips of Bacon, 2 Slices of Pepper Jack Cheese, Lettuce, 2 Slices of Tomato, Red Onions & Santa Fe Sauce, Charbroiled Burgers","Burgers",1230,90,31,3,170,2020,NA,58,45,14,4,269,20,7,1,37,441,NA,13,10,3,1
"The 1/3 lb Guacamole Bacon Thickburger","The 1/3 lb Guacamole Bacon Thickburger on a Fresh Baked Bun w/ Black Angus Beef Patty, Guacamole, 2 Strips of Bacon, Pepper Jack Cheese, Lettuce, 2 Slices of Tomato, Red Onions & Santa Fe Sauce, Charbroiled Burgers","Burgers",1010,69,20,2,120,1830,NA,57,35,14,4,261,18,5,1,31,473,NA,15,9,4,1
"1/2 lb Low Carb Thickburger","1/2 lb Low Carb Thickburger in an Iceberg Whole Leaf Lettuce w/ Black Angus Beef Patty, 2 Slices of American Cheese, 2 Slices of Tomato, Red Onions, Dill Pickles, Mustard, Mayonnaise & Ketchup, Low Carb It, Better for You Options, Charbroiled Burgers","Burgers",670,56,24,3,140,1310,NA,9,33,5,1,203,17,7,1,42,397,NA,3,10,2,0
"1/3 lb Low Carb Thickburger","1/3 lb Low Carb Thickburger in a Iceberg Whole Leaf Lettuce w/ Black Angus Beef Patty, American Cheese, 2 Slices of Tomato, Red Onions, Dill Pickles, Mustard, Mayonnaise & Ketchup, Low Carb It, Better for You Options, Charbroiled Burgers","Burgers",450,34,13,1.5,85,1060,NA,9,22,5,1,174,13,5,1,33,409,NA,3,8,2,0
"The Low Carb Thickburger, Gluten Sensitive","The Low Carb Thickburger w/ Beef Patty, 2 Slices of American Cheese, Dill Pickles, Lettuce, Onions, 2 Slices of Tomatoes, Ketchup & Mayonnaise in a Lettuce Wrap, Gluten Sensitive, Better For You Options","Burgers",560,42,18,2,120,1390,NA,9,38,5,1,187,14,6,1,40,465,NA,3,13,2,0
"The 1/2 lb Guacamole Thickburger, Gluten Sensitive","The 1/2 lb Guacamole Thickburger in a Iceberg Whole Leaf Lettuce w/ Angus Beef Patty, Guacamole, Bacon, 2 Slices of Jack Cheese, Red Onion, Lettuce, 2 Slices of Tomato & Special Sauce, Gluten Sensitive, Better for You Options","Burgers",940,81,29,3,165,1640,NA,11,39,6,2,245,21,8,1,43,427,NA,3,10,2,1
"The 1/3 lb Guacamole Thickburger, Gluten Sensitive","The 1/3 lb Guacamole Thickburger in an Iceberg Whole Leaf Lettuce w/ Angus Beef Patty, Guacamole, Bacon, 2 Slices of Pepper Jack Cheese, Red Onion, Lettuce, 2 Slices of Tomato & Special Sauce, Gluten Sensitive","Burgers",720,60,18,0,115,1450,NA,10,28,5,2,229,19,6,0,37,462,NA,3,9,2,1
"Crispy Chicken El Diablo","Crispy Chicken El Diablo on a Fresh Baked Bun w/ Chicken Fillet, Cheesy Jalapeno Poppers, Bacon, Habanero Sauce & Jalapeno Coins, Chicken & More","Burgers",1080,59,16,0.5,115,3440,NA,93,46,14,6,271,15,4,0,29,864,NA,23,12,4,2
"The 1/2 lb Thickburger El Diablo","The 1/2 lb Thickburger El Diablo on a Fresh Baked Bun w/ Angus Beefsteak Patty, Bacon, Jalapeno Popper Bites, Habanero Bacon Ranch Sauce, Pepper Jack Cheese & Jalapeno Slices, Charbroiled Burgers","Burgers",1290,85,32,3,165,2790,NA,80,50,14,4,299,20,7,1,38,647,NA,19,12,3,1
"1/3 lb Thickburger El Diablo","1/3 lb Thickburger El Diablo on a Fresh Baked Bun w/ Angus Beefsteak Patty, Jalapeno Popper Bites, Pepper Jack Cheese, Habanero Bacon Ranch Sauce, Bacon & Sliced Jalapenos, Charbroiled Burgers","Burgers",1070,64,21,2,115,2600,NA,79,39,13,4,296,18,6,1,32,720,NA,22,11,4,1
"The Single All Natural Burger","The Single All Natural Burger on a Fresh Baked Bun w/ Beef Patty, American Cheese, Pickles, Lettuce, Tomato, Ketchup, Mayonnaise & Mustard, Charbroiled Burgers","Burgers",760,44,13,1,90,1040,NA,61,31,19,3,241,14,4,0,29,330,NA,19,10,6,1
"The Double All Natural Burger","The Double All Natural Burger on a Fresh Baked Bun w/ 2 Beef Patties, American Cheese, Lettuce, Tomatoes, Pickles, Red Onions, Ketchup, Mayo & Mustard, Charbroiled Burgers","Burgers",1030,64,23,1.5,170,1310,NA,62,53,19,3,259,16,6,0,43,329,NA,16,13,5,1
"Double Super Bacon Cheese Burger","Double Super Bacon Cheese Burger on a Seeded Bun w/ 2 Beef Patties, 2 Slices of Bacon, American Cheese, Tomato, Lettuce, Onion & Mayonnaise, Charbroiled Burgers","Burgers",1100,71,29,2,180,1780,NA,54,58,10,3,275,18,7,1,45,445,NA,14,15,3,1
"Single Super Bacon Cheese Burger","Single Super Bacon Cheese Burger on a Seeded Bun w/ Beef Patty, American Cheese, Tomato, Lettuce, Onion, Mayonnaise & 2 Strips of Bacon, Charbroiled Burgers","Burgers",840,52,19,1,115,1440,NA,52,39,9,3,287,18,6,0,39,491,NA,18,13,3,1
"The 1/2 lb Super Bacon Thickburger","The 1/2 lb Super Bacon Thickburger on a Fresh Baked Bun w/ Angus Beef Patty, American Cheese, Tomato, Lettuce, Onion, 4 Strips of Bacon & Mayonnaise, Charbroiled Burgers","Burgers",1180,84,32,3,180,2190,NA,55,51,13,3,277,20,8,1,42,514,NA,13,12,3,1
"The 1/3 lb Super Bacon Thickburger","The 1/3 lb Super Bacon Thickburger on a Fresh Baked Bun w/ Angus Beef Patty, American Cheese, Tomato, Lettuce, Onion, 4 Strips of Bacon & Mayonnaise, Charbroiled Burgers","Burgers",960,63,20,2,130,1930,NA,55,40,13,3,271,18,6,1,37,545,NA,16,11,4,1
"The California Classic Double Cheeseburger","The California Classic Double Cheeseburger on a Plain Bun w/ Double Meat, Double Cheese, Grilled Onions, Thousand Island, Lettuce & Tomato, Charbroiled Burgers","Burgers",620,39,15,1.5,100,1130,NA,41,29,12,3,219,14,5,1,35,399,NA,14,10,4,1
"The 1/2 lb Bacon 3 Way Burger","The 1/2 lb Bacon 3 Way Burger on a Plain Bun w/ Charbroiled Patty, Applewood Smoked Bacon Strips, Bacon Crumbles, Bacon Jam, Lettuce, Tomato & 2 Slices of American Cheese, Charbroiled Burgers","Burgers",1080,66,26,2.5,195,2810,NA,66,57,23,5,254,16,6,1,46,661,NA,16,13,5,1
"The 1/3 lb Bacon 3 Way Burger","The 1/3 lb Bacon 3 Way Burger on a Plain Bun w/ Charbroiled Patty, Applewood Smoked Bacon Strips, Bacon Crumbles, Bacon Jam, 2 Slices of American Cheese, Lettuce & Tomato, Charbroiled Burgers","Burgers",870,50,18,1.5,140,2230,NA,65,44,22,10,244,14,5,0,39,626,NA,18,12,6,3
"The Double Bacon 3 Way Burger","The Double Bacon 3 Way Burger on a Plain Bun w/ Charbroiled Patty, Applewood Smoked Bacon Strips, Bacon Crumbles, Bacon Jam, Lettuce, Tomato & 2 Slices of American Cheese, Charbroiled Burgers","Burgers",1060,63,27,2,170,2090,NA,66,59,22,3,257,15,7,0,41,507,NA,16,14,5,1
"The Bacon 3 Way Burger","The Bacon 3 Way Burger on a Plain Bun w/ Charbroiled Patty, Applewood Smoked Bacon Strips, Bacon Crumbles, Bacon Jam, Tomato, Lettuce & 2 Slices of American Cheese, Charbroiled Burgers","Burgers",800,44,17,1,105,1760,NA,65,39,21,3,243,13,5,0,32,535,NA,20,12,6,1
"1/3 lb Budweiser Beer Cheese Bacon Thickburger","1/3 lb Budweiser Beer Cheese Bacon Thickburger on a Toasted Premium Bun w/ Beef Patty, Budweiser Beer Cheese Sauce, Bacon Strips, Grilled Onions, Lettuce & Tomato, Charbroiled Burgers","Burgers",790,46,20,2,115,1820,NA,51,43,12,2,221,13,6,1,32,508,NA,14,12,3,1
"All Natural Budweiser Beer Cheese Bacon Burger Double","All Natural Budweiser Beer Cheese Bacon Burger Double on a Toasted Premium Bun w/ Beef Patty, Budweiser Beer Cheese Sauce, Bacon Strips, Grilled Onions, Lettuce & Tomato, Charbroiled Burgers","Burgers",940,55,24,2,155,1800,NA,52,60,12,3,233,14,6,0,38,447,NA,13,15,3,1
"All Natural Budweiser Beer Cheese Bacon Burger Single","All Natural Budweiser Beer Cheese Bacon Burger Single on a Toasted Premium Bun w/ Beef Patty, Budweiser Beer Cheese Sauce, Bacon Strips, Grilled Onions, Lettuce & Tomato, Charbroiled Burgers","Burgers",710,38,16,1,85,1430,NA,51,40,11,3,217,12,5,0,26,437,NA,16,12,3,1
"1/2 lb Budweiser Beer Cheese Bacon Thickburger","1/2 lb Budweiser Beer Cheese Bacon Thickburger on a Toasted Premium Bun w/ Beef Patty, Budweiser Beer Cheese Sauce, Bacon Strips, Grilled Onions, Lettuce & Tomato, Charbroiled Burgers","Burgers",990,62,27,2.5,170,2360,NA,52,56,13,5,234,15,6,1,40,558,NA,12,13,3,1
"ButterBurger, The Original, Double","ButterBurger, The Original, ButterBurgers, Kids Meal, Kids & Adults Menu, Double","Burgers",560,30,11,1,105,670,NA,39,34,6,1,292,16,6,1,55,349,NA,20,18,3,1
"ButterBurger, The Original, Single","ButterBurger, The Original, Single, ButterBurgers, Kids Meal, Mindful Choices, Kids & Adults Menu; Choice in: SnackPak","Burgers",390,17,6,0.5,55,570,NA,39,20,6,1,287,13,4,0,40,419,NA,29,15,4,1
"ButterBurger, The Original, Triple","ButterBurger, The Original, ButterBurgers, Kids Meal, Kids & Adults Menu, Triple","Burgers",730,43,16,1.5,155,770,NA,39,48,6,1,292,17,6,1,62,308,NA,16,19,2,0
"ButterBurger Cheese, Double","ButterBurger Cheese, Double, ButterBurgers","Burgers",700,42,18,1.4,145,920,NA,41,40,8,1,304,18,8,1,63,400,NA,18,17,3,0
"ButterBurger Cheese, Single","ButterBurger Cheese, Single, ButterBurgers, Kids Meal, Mindful Choices, Kids & Adults Menu; Choice in: SnackPak","Burgers",460,23,9.5,0.7,75,695,NA,40,23,7,1,299,15,6,0,49,451,NA,26,15,5,1
"ButterBurger Cheese, Triple","ButterBurger Cheese, Triple, ButterBurgers","Burgers",940,61,26.5,2.1,215,1145,NA,42,57,9,1,307,20,9,1,70,374,NA,14,19,3,0
"Cheddar ButterBurger w/ Bacon, Double","Cheddar ButterBurger w/ Bacon, Double, ButterBurgers","Burgers",760,47,21,1,155,1105,NA,39,47,6,1,314,19,9,0,64,457,NA,16,19,2,0
"Cheddar ButterBurger w/ Bacon, Single","Cheddar ButterBurger w/ Bacon, Single, ButterBurgers","Burgers",510,27,11.5,0.5,85,865,NA,39,28,6,1,311,16,7,0,52,527,NA,24,17,4,1
"Cheddar ButterBurger w/ Bacon, Triple","Cheddar ButterBurger w/ Bacon, Triple, ButterBurgers","Burgers",1010,67,30.5,1.5,225,1345,NA,39,66,6,1,316,21,10,0,70,420,NA,12,21,2,0
"Cheddar ButterBurger, Double","Cheddar ButterBurger, Double, ButterBurgers","Burgers",720,44,20,1,145,950,NA,39,44,6,1,308,19,9,0,62,406,NA,17,19,3,0
"Cheddar ButterBurger, Single","Cheddar ButterBurger, Single, ButterBurgers; Choice in: SnackPak","Burgers",470,24,10.5,0.5,75,710,NA,39,25,6,1,301,15,7,0,48,455,NA,25,16,4,1
"Cheddar ButterBurger, Triple","Cheddar ButterBurger, ButterBurgers, Triple","Burgers",970,64,29.5,1.5,215,1190,NA,39,63,6,1,311,21,9,0,69,381,NA,13,20,2,0
"Mushroom & Swiss ButterBurger, Double","Mushroom & Swiss ButterBurger on a Buttered Toasted Bun w/ Beef, White Button Mushrooms, Butter, Salt, Pepper, Parsley, Garlic & Swiss Cheese, ButterBurgers, Double","Burgers",780,47,19,1.4,145,880,NA,42,47,6,2,285,17,7,1,53,321,NA,15,17,2,1
"Mushroom & Swiss ButterBurger, Single","Mushroom & Swiss ButterBurger on a Kaiser Bun w/ Butter, Swiss Cheese, Beef Patty & Dill Pickle, ButterBurgers, Single; Choice in: SnackPak","Burgers",500,25,10,0.7,75,675,NA,41,26,6,1,284,14,6,0,43,384,NA,23,15,3,1
"Mushroom & Swiss ButterBurger, Triple","Mushroom & Swiss ButterBurger on a Buttered Toasted Bun w/ Beef, White Button Mushrooms, Salt, Pepper, Parsley, Garlic & Swiss Cheese, ButterBurgers, Triple","Burgers",1030,67,26.5,2.1,215,1025,NA,42,66,6,1,291,19,7,1,61,290,NA,12,19,2,0
"Sourdough Melt, Double","Sourdough Melt on a Buttered Toasted Sourdough Bread w/ Beef Patty, Red Onions & Wisconsin Cheddar, ButterBurgers, Double","Burgers",710,45,21,1,150,905,NA,34,45,2,1,278,18,8,0,59,355,NA,13,18,1,0
"Sourdough Melt, Single","Sourdough Melt on Sourdough Bread w/ Beef Patty, Red Onions & Wisconsin Cheddar Cheese, ButterBurgers, Single","Burgers",460,25,11.5,0.5,80,665,NA,34,26,2,1,260,14,6,0,45,376,NA,19,15,1,1
"Sourdough Melt, Triple","Sourdough Melt on Buttered Sourdough Bread w/ Beef Patty, Red Onions & Wisconsin Cheddar Cheese, ButterBurgers, Triple","Burgers",970,66,30.5,1.5,220,1150,NA,34,64,2,1,279,19,9,0,63,330,NA,10,18,1,0
