"age","income","months_subbed","upgrade"
29,54.3,19,0
44,64.86,39,1
28,85.46,62,1
27,89.08,54,1
29,88.83,55,1
28,70.08,80,0
31,80.15,20,1
29,115.62,29,1
34,75.33,48,1
33,59.91,2,1
27,86.78,36,0
36,126.76,53,1
23,31.89,17,1
29,87.36,77,0
21,55.97,39,0
38,58.06,61,0
40,76.66,18,1
27,81.54,71,1
34,87.05,75,0
24,65.61,59,1
12,97.34,54,1
27,90.91,43,0
43,70.77,38,1
32,43.67,33,1
7,54.19,79,1
33,78.93,17,1
19,75.84,72,0
24,75.24,59,0
26,70.48,18,1
32,84.9,71,1
29,90.45,58,1
20,84.29,79,0
35,105.11,21,1
35,77.62,40,1
30,54.47,14,1
29,128.36,76,1
38,43.25,66,0
35,63.02,25,1
37,67.05,79,1
13,109.29,76,0
45,80.98,23,1
31,56.04,36,0
20,57.59,17,1
23,89.18,13,1
28,59.77,19,1
28,100.63,31,1
31,71.19,39,0
20,111.37,17,0
24,90.44,79,1
32,88.32,33,1
27,86.43,14,0
28,60.5,21,0
49,94.33,53,1
22,104.81,16,0
34,113.89,25,1
35,67.27,40,0
24,67.64,6,0
20,75.96,65,0
25,44.94,13,1
27,83.53,2,0
30,111.86,23,1
40,87.71,50,1
25,76.24,68,1
29,111.22,7,1
34,89.87,44,1
32,85,24,1
25,66.26,54,0
32,63.92,53,1
26,95.2,22,1
26,92.92,63,1
23,75.27,9,1
29,88.98,7,1
34,99.66,53,0
37,85.01,68,1
33,82.99,21,1
35,38.6,75,1
38,98.68,48,0
37,119.95,56,0
21,93.08,55,0
30,98.17,79,1
25,84.42,44,0
23,91.95,44,1
21,29.31,24,1
13,69.05,40,1
16,103.76,55,1
33,94.97,58,1
37,61.28,20,0
37,54.6,5,1
43,87.76,59,1
29,107.1,73,1
36,61.4,65,1
36,78.56,14,0
32,77.67,27,0
38,90.3,21,0
33,80.76,45,1
31,74.32,63,1
30,85.63,24,1
29,69.63,13,1
30,36.26,8,1
32,107.12,17,0
30,88.27,77,1
25,92.14,76,1
23,77.27,1,1
26,75.42,32,0
27,58.73,44,0
18,49.58,77,1
25,89.59,34,1
33,75.4,16,1
32,96.79,74,0
25,82.12,2,1
31,100.09,25,1
21,73.92,3,1
35,85.81,60,1
38,111.02,65,1
41,98.18,9,0
33,49.68,31,1
28,90.12,29,1
29,85.43,68,1
22,92.72,10,0
31,42.16,47,0
35,87.28,28,1
24,85.26,52,1
33,90.2,26,0
29,50.43,3,1
35,27.44,16,1
36,76.16,14,1
37,87.91,78,1
40,64.32,56,1
26,113.07,78,1
23,69.33,79,0
27,112.56,11,1
27,93.14,42,1
24,70.13,36,1
28,81.75,8,0
30,64.35,72,0
40,66.55,39,1
43,95.11,64,0
22,53.12,53,1
41,102.65,47,1
33,119.81,33,1
28,97.1,42,1
36,94.8,27,1
32,114.42,75,1
40,91.78,74,0
35,72.35,48,1
28,135.93,75,1
24,76.84,61,1
20,78.82,75,1
19,50.54,51,0
23,92.89,72,0
25,70.62,69,0
27,66.8,60,1
16,102.41,76,1
30,92.51,24,0
40,132.14,75,0
40,82.84,63,0
25,66.07,28,1
40,106.26,75,0
16,83.22,18,0
23,80.26,71,1
27,74.98,10,0
31,58.31,50,0
34,99.67,4,1
38,69.42,57,0
26,86.73,73,1
28,84.08,1,1
26,107.89,13,0
29,50.52,29,1
33,78.54,53,1
31,89.75,8,0
28,81.79,23,1
20,79.34,77,0
33,89.09,70,0
20,34.29,64,0
35,112.5,10,1
38,91.79,24,1
36,64.17,24,1
26,79.85,35,1
26,81.31,56,1
22,38.09,61,0
28,52.08,16,0
28,57.95,72,1
28,76.16,25,1
30,114.67,13,1
29,61.91,8,0
21,57.26,79,0
27,66.75,40,1
28,57.18,4,1
34,112.33,69,0
30,98.54,21,0
20,52.68,63,0
35,95.55,49,1
31,81.87,7,1
34,63.97,12,1
22,83.94,14,0
29,113.43,42,1
23,37.27,38,0
29,73.78,65,0
45,34.92,68,0
23,43.44,7,1
23,59.47,42,0
30,79.54,1,0
31,41.04,19,1
39,84.64,47,1
35,80.26,65,1
25,72.74,46,0
29,95.63,32,0
28,74.42,33,1
25,102.51,46,1
20,56,60,1
31,88.9,17,1
29,69.58,74,1
24,91.04,14,0
26,52.94,64,0
33,84.03,71,1
24,101.36,49,1
33,107.75,6,1
37,70.2,50,1
29,75.98,11,0
44,76.38,1,1
37,110.5,64,1
12,92.73,71,1
29,118.47,23,1
39,54.43,58,1
33,88.61,18,1
27,113.38,30,1
24,84.25,45,0
35,82.23,55,1
15,76.65,35,0
36,109.14,39,1
31,69.31,45,1
25,73.49,22,1
34,76.32,70,1
26,96.72,77,1
26,107.6,14,1
33,41.08,19,1
35,89.65,27,1
30,69.99,44,0
15,75.61,13,1
31,110.95,52,1
14,86.02,30,0
43,50.38,46,1
32,88.86,20,1
33,78.54,57,0
33,96.26,2,1
26,92.09,26,1
40,86.98,48,0
32,79.17,25,0
32,49.03,22,0
26,61.79,10,0
34,68.47,23,1
30,87.23,20,0
23,59.99,10,1
26,83.63,66,1
33,76.85,19,1
35,100.98,18,1
35,77.72,54,0
19,82.85,36,1
18,67.73,43,0
31,73.84,10,1
31,71.04,41,1
26,89.44,44,1
23,93.08,56,1
36,90.58,43,1
25,71.4,49,0
26,70.21,12,0
25,53.11,43,1
31,111.05,17,0
25,77.89,73,1
27,41.6,61,0
46,106.26,22,1
31,86.36,49,1
24,69.55,20,1
41,65.79,64,1
38,90.2,66,1
28,76.39,67,0
25,86.31,23,1
20,70.1,52,0
23,49.75,7,0
32,98.87,21,1
22,83.03,16,1
34,100.08,68,0
13,72.77,65,1
39,69.52,14,1
28,112.74,29,0
31,81.57,69,0
29,85.23,44,0
33,64.65,26,1
47,73.76,77,1
29,103.42,15,0
37,67.8,37,0
26,84.77,15,0
26,93.7,17,0
37,89.34,20,1
28,110.52,13,0
19,77.69,9,0
18,79.61,70,1
23,85.94,6,1
26,57.45,8,1
15,93.71,63,1
12,84.08,13,1
36,74.42,30,1
34,84.52,20,1
36,81.61,24,1
37,84.45,31,1
35,60.75,23,1
41,114.61,26,0
22,74.43,32,0
33,126.95,59,1
35,86.78,22,1
21,86.54,70,1
28,45.9,60,1
39,55.02,8,1
20,60.26,47,0
24,68.24,67,1
25,64.33,47,1
18,77.65,79,1
19,109.06,31,1
33,82.18,36,0
34,77.82,68,0
31,85.57,32,1
36,75.32,33,1
31,96.61,14,1
36,127.54,64,0
33,77.93,19,1
30,85.35,21,1
16,72.51,12,1
31,71.07,75,1
34,87.44,21,1
31,125.11,39,1
28,84.53,2,1
32,82.51,41,1
25,77.82,75,1
22,72.82,21,0
27,84.08,66,1
30,42.74,19,1
38,85.89,7,1
31,65.54,44,1
28,94.05,39,1
34,38.9,53,1
30,93.24,7,1
43,111.87,67,0
32,97.1,31,0
15,80.94,21,1
40,94.01,18,1
18,34.16,64,1
27,70.79,69,1
30,99.17,43,0
33,64.02,6,0
18,83.81,39,0
25,88.11,66,1
27,66.47,42,1
36,82.24,31,0
35,95.97,3,1
32,84.19,54,0
35,102.2,9,0
23,98.03,74,0
26,83.7,10,1
27,82.62,15,1
32,71.41,12,1
30,80.9,28,1
42,119.09,60,0
25,103.72,9,1
18,102.62,13,1
33,118.56,3,1
36,51.81,54,1
24,81.95,77,0
44,101.58,69,1
37,61.76,40,1
34,79.27,44,1
38,90.17,42,1
32,66.86,77,0
24,71.48,12,1
21,43.14,49,1
33,71.36,70,0
23,72.19,66,0
45,52.17,39,1
20,120.39,17,1
25,67.16,10,0
33,71.17,79,0
19,70.55,57,0
30,71.82,29,0
26,47.55,43,1
33,41.76,74,0
21,92.07,35,0
37,80.99,7,1
31,102.72,52,1
33,88.85,32,0
41,76.39,51,1
29,56.35,78,0
24,93.08,56,1
28,57.02,14,0
45,43.09,4,1
42,82.24,37,1
28,91.13,22,1
43,109.4,63,1
29,50.57,32,0
36,63.29,10,0
36,82.45,65,1
30,107.94,64,1
23,94.53,66,0
37,85.51,22,0
37,110.56,20,1
31,103.79,79,1
39,92.33,34,0
26,90.63,55,1
25,104.83,10,1
27,103.45,19,0
34,63.11,73,1
33,78.05,56,1
31,54.72,64,1
28,55.64,16,0
29,60.8,68,0
30,77.42,26,1
26,70.34,64,0
34,110.83,53,0
20,72.24,25,0
38,81.42,53,0
28,93.32,29,1
36,83.16,60,1
32,83.03,69,1
15,84.6,42,1
21,68.24,23,1
35,53.62,66,1
33,69.03,27,1
28,80.83,79,1
31,72.92,23,1
20,90.73,44,1
25,79.45,33,1
32,94.66,13,0
29,108.38,21,0
38,85.65,76,0
38,112.87,60,1
35,76.27,50,0
29,51.25,73,0
23,55.59,65,1
22,32.21,20,0
34,86.47,80,1
26,66.17,26,1
32,80.15,76,1
37,93.22,57,1
15,108.71,63,0
26,76.75,22,1
30,95.73,28,1
27,75.53,78,0
36,94.22,43,0
22,85.39,67,0
27,99.79,43,0
35,74.55,15,1
31,72.08,15,1
33,96.96,69,0
17,56.86,62,0
19,70.4,55,0
16,62.77,78,0
31,91.16,10,1
25,67.02,17,1
24,94.65,44,0
35,101.16,42,1
40,71.13,9,1
29,99.25,67,0
34,83.41,72,1
19,54.58,58,1
21,61.56,25,1
23,85.61,62,0
28,78.5,47,0
22,70.42,65,0
34,49.85,65,1
35,85.31,32,1
25,71.69,22,1
34,34.65,10,0
24,75.56,61,0
32,58.88,70,0
32,113.12,34,0
37,66.35,8,1
23,72.61,50,0
21,94.33,47,0
40,93.89,71,1
32,54.6,32,1
31,97.02,60,1
24,122.14,42,0
22,74.51,46,0
31,79.14,61,0
35,73.52,72,0
32,63.61,16,0
31,53.26,13,1
38,82.33,49,0
28,111.45,54,1
20,56.27,70,1
32,90.61,3,1
30,57.51,77,0
33,72.62,35,1
37,111.42,74,1
20,136.32,44,0
27,57.83,29,1
31,96.49,11,1
31,70.57,57,1
30,100.5,65,0
31,93.58,33,0
34,93.44,58,1
33,53.11,42,0
30,116.96,27,0
27,102.24,75,0
26,83,43,1
30,101.03,79,0
27,89.36,38,1
27,50.79,47,0
25,78.28,22,1
29,86.87,49,1
43,87.05,38,1
21,52.13,74,0
35,65.6,68,1
31,76.35,58,1
40,77.94,72,1
30,65.85,63,0
15,83.35,28,1
25,96.11,61,1
31,80.13,69,1
25,60.21,66,1
10,109,5,0
24,81.86,9,0
23,103.17,78,0
19,83.02,9,1
45,89.01,75,1
47,110.99,40,1
38,83.35,30,1
23,80.38,14,0
38,9.57,15,1
33,84.55,52,1
41,67.14,48,0
37,62.44,41,1
23,88.94,5,1
28,86.73,32,0
20,87.2,72,1
33,31.39,63,1
52,46.83,39,0
22,96.48,61,0
32,104.65,24,1
31,83.78,18,0
27,101.24,16,0
24,81.71,80,1
38,123.22,37,0
25,68,47,0
29,103.22,70,0
29,85.28,12,0
33,104.27,73,1
29,106.11,7,0
37,55.6,10,1
28,85.9,39,1
35,76.21,45,1
27,101.67,56,1
28,57.22,38,1
35,36.02,21,1
37,71.7,60,1
27,86.24,67,1
34,97.78,27,0
31,84.26,50,1
29,66.08,43,0
30,72.63,71,0
33,96.99,2,0
44,104.55,35,1
29,73.48,77,1
42,83.67,80,1
25,42.54,32,0
37,88.51,1,1
15,96.66,20,1
29,97.98,60,0
36,49.26,56,0
22,79.68,18,1
34,81.94,4,1
32,141.7,50,1
38,45.58,55,0
37,105.59,27,0
28,65.41,66,1
25,80.2,50,1
40,67.69,69,1
25,83.91,39,1
23,78.04,5,0
28,109.43,32,0
29,88.83,12,1
38,88.82,46,1
35,90.78,23,1
23,90.75,12,0
35,68.58,29,1
35,86.84,25,1
35,77.16,21,1
29,80.76,10,0
26,74.84,13,1
22,117.67,5,1
30,62.22,78,0
27,99.11,49,1
21,122.2,67,1
38,85.11,33,0
36,72.45,2,1
27,125.1,17,0
32,50.48,53,1
22,65.25,51,0
20,77.04,45,0
30,103.65,37,0
40,109.09,17,0
36,112.75,64,1
21,91.79,71,0
20,96.75,7,0
28,113.25,77,0
28,66.51,32,0
29,98.21,77,0
36,91.69,37,1
27,87.03,62,0
27,98.88,39,0
24,79.03,27,1
26,97.48,9,1
34,94.13,76,1
39,80.23,29,0
37,78.36,61,0
30,51.12,66,0
22,92.29,14,1
21,64.86,58,1
24,75.38,51,0
20,73.42,46,0
27,84.89,25,0
26,47.23,19,0
27,58.3,70,1
28,85.5,35,0
28,86.73,68,0
32,100.54,62,1
40,105.65,37,1
32,84.36,15,1
36,97.64,66,1
26,87.56,45,0
37,77.86,79,0
29,82.07,35,0
28,92.8,56,1
39,106.66,13,1
18,93.48,37,1
34,106.27,52,0
26,38.47,11,1
21,70.11,43,1
41,83.56,29,1
21,93.86,18,1
