,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
40,Adelie,Dream,36.5,18.0,182.0,3150.0,female,2007
41,Adelie,Dream,40.8,18.4,195.0,3900.0,male,2007
42,Adelie,Dream,36.0,18.5,186.0,3100.0,female,2007
43,Adelie,Dream,44.1,19.7,196.0,4400.0,male,2007
44,Adelie,Dream,37.0,16.9,185.0,3000.0,female,2007
45,Adelie,Dream,39.6,18.8,190.0,4600.0,male,2007
46,Adelie,Dream,41.1,19.0,182.0,3425.0,male,2007
47,Adelie,Dream,37.5,18.9,179.0,2975.0,,2007
48,Adelie,Dream,36.0,17.9,190.0,3450.0,female,2007
49,Adelie,Dream,42.3,21.2,191.0,4150.0,male,2007
50,Adelie,Biscoe,39.6,17.7,186.0,3500.0,female,2008
51,Adelie,Biscoe,40.1,18.9,188.0,4300.0,male,2008
52,Adelie,Biscoe,35.0,17.9,190.0,3450.0,female,2008
53,Adelie,Biscoe,42.0,19.5,200.0,4050.0,male,2008
54,Adelie,Biscoe,34.5,18.1,187.0,2900.0,female,2008
55,Adelie,Biscoe,41.4,18.6,191.0,3700.0,male,2008
56,Adelie,Biscoe,39.0,17.5,186.0,3550.0,female,2008
57,Adelie,Biscoe,40.6,18.8,193.0,3800.0,male,2008
58,Adelie,Biscoe,36.5,16.6,181.0,2850.0,female,2008
59,Adelie,Biscoe,37.6,19.1,194.0,3750.0,male,2008
60,Adelie,Biscoe,35.7,16.9,185.0,3150.0,female,2008
61,Adelie,Biscoe,41.3,21.1,195.0,4400.0,male,2008
62,Adelie,Biscoe,37.6,17.0,185.0,3600.0,female,2008
63,Adelie,Biscoe,41.1,18.2,192.0,4050.0,male,2008
64,Adelie,Biscoe,36.4,17.1,184.0,2850.0,female,2008
65,Adelie,Biscoe,41.6,18.0,192.0,3950.0,male,2008
66,Adelie,Biscoe,35.5,16.2,195.0,3350.0,female,2008
67,Adelie,Biscoe,41.1,19.1,188.0,4100.0,male,2008
68,Adelie,Torgersen,35.9,16.6,190.0,3050.0,female,2008
69,Adelie,Torgersen,41.8,19.4,198.0,4450.0,male,2008
70,Adelie,Torgersen,33.5,19.0,190.0,3600.0,female,2008
71,Adelie,Torgersen,39.7,18.4,190.0,3900.0,male,2008
72,Adelie,Torgersen,39.6,17.2,196.0,3550.0,female,2008
73,Adelie,Torgersen,45.8,18.9,197.0,4150.0,male,2008
74,Adelie,Torgersen,35.5,17.5,190.0,3700.0,female,2008
75,Adelie,Torgersen,42.8,18.5,195.0,4250.0,male,2008
76,Adelie,Torgersen,40.9,16.8,191.0,3700.0,female,2008
77,Adelie,Torgersen,37.2,19.4,184.0,3900.0,male,2008
78,Adelie,Torgersen,36.2,16.1,187.0,3550.0,female,2008
79,Adelie,Torgersen,42.1,19.1,195.0,4000.0,male,2008
80,Adelie,Torgersen,34.6,17.2,189.0,3200.0,female,2008
81,Adelie,Torgersen,42.9,17.6,196.0,4700.0,male,2008
82,Adelie,Torgersen,36.7,18.8,187.0,3800.0,female,2008
83,Adelie,Torgersen,35.1,19.4,193.0,4200.0,male,2008
84,Adelie,Dream,37.3,17.8,191.0,3350.0,female,2008
85,Adelie,Dream,41.3,20.3,194.0,3550.0,male,2008
86,Adelie,Dream,36.3,19.5,190.0,3800.0,male,2008
87,Adelie,Dream,36.9,18.6,189.0,3500.0,female,2008
88,Adelie,Dream,38.3,19.2,189.0,3950.0,male,2008
89,Adelie,Dream,38.9,18.8,190.0,3600.0,female,2008
90,Adelie,Dream,35.7,18.0,202.0,3550.0,female,2008
91,Adelie,Dream,41.1,18.1,205.0,4300.0,male,2008
92,Adelie,Dream,34.0,17.1,185.0,3400.0,female,2008
93,Adelie,Dream,39.6,18.1,186.0,4450.0,male,2008
94,Adelie,Dream,36.2,17.3,187.0,3300.0,female,2008
95,Adelie,Dream,40.8,18.9,208.0,4300.0,male,2008
96,Adelie,Dream,38.1,18.6,190.0,3700.0,female,2008
97,Adelie,Dream,40.3,18.5,196.0,4350.0,male,2008
98,Adelie,Dream,33.1,16.1,178.0,2900.0,female,2008
99,Adelie,Dream,43.2,18.5,192.0,4100.0,male,2008
100,Adelie,Biscoe,35.0,17.9,192.0,3725.0,female,2009
101,Adelie,Biscoe,41.0,20.0,203.0,4725.0,male,2009
102,Adelie,Biscoe,37.7,16.0,183.0,3075.0,female,2009
103,Adelie,Biscoe,37.8,20.0,190.0,4250.0,male,2009
104,Adelie,Biscoe,37.9,18.6,193.0,2925.0,female,2009
105,Adelie,Biscoe,39.7,18.9,184.0,3550.0,male,2009
106,Adelie,Biscoe,38.6,17.2,199.0,3750.0,female,2009
107,Adelie,Biscoe,38.2,20.0,190.0,3900.0,male,2009
108,Adelie,Biscoe,38.1,17.0,181.0,3175.0,female,2009
109,Adelie,Biscoe,43.2,19.0,197.0,4775.0,male,2009
110,Adelie,Biscoe,38.1,16.5,198.0,3825.0,female,2009
111,Adelie,Biscoe,45.6,20.3,191.0,4600.0,male,2009
112,Adelie,Biscoe,39.7,17.7,193.0,3200.0,female,2009
113,Adelie,Biscoe,42.2,19.5,197.0,4275.0,male,2009
114,Adelie,Biscoe,39.6,20.7,191.0,3900.0,female,2009
115,Adelie,Biscoe,42.7,18.3,196.0,4075.0,male,2009
116,Adelie,Torgersen,38.6,17.0,188.0,2900.0,female,2009
117,Adelie,Torgersen,37.3,20.5,199.0,3775.0,male,2009
118,Adelie,Torgersen,35.7,17.0,189.0,3350.0,female,2009
119,Adelie,Torgersen,41.1,18.6,189.0,3325.0,male,2009
120,Adelie,Torgersen,36.2,17.2,187.0,3150.0,female,2009
121,Adelie,Torgersen,37.7,19.8,198.0,3500.0,male,2009
122,Adelie,Torgersen,40.2,17.0,176.0,3450.0,female,2009
123,Adelie,Torgersen,41.4,18.5,202.0,3875.0,male,2009
124,Adelie,Torgersen,35.2,15.9,186.0,3050.0,female,2009
125,Adelie,Torgersen,40.6,19.0,199.0,4000.0,male,2009
126,Adelie,Torgersen,38.8,17.6,191.0,3275.0,female,2009
127,Adelie,Torgersen,41.5,18.3,195.0,4300.0,male,2009
128,Adelie,Torgersen,39.0,17.1,191.0,3050.0,female,2009
129,Adelie,Torgersen,44.1,18.0,210.0,4000.0,male,2009
130,Adelie,Torgersen,38.5,17.9,190.0,3325.0,female,2009
131,Adelie,Torgersen,43.1,19.2,197.0,3500.0,male,2009
132,Adelie,Dream,36.8,18.5,193.0,3500.0,female,2009
133,Adelie,Dream,37.5,18.5,199.0,4475.0,male,2009
134,Adelie,Dream,38.1,17.6,187.0,3425.0,female,2009
135,Adelie,Dream,41.1,17.5,190.0,3900.0,male,2009
136,Adelie,Dream,35.6,17.5,191.0,3175.0,female,2009
137,Adelie,Dream,40.2,20.1,200.0,3975.0,male,2009
138,Adelie,Dream,37.0,16.5,185.0,3400.0,female,2009
139,Adelie,Dream,39.7,17.9,193.0,4250.0,male,2009
140,Adelie,Dream,40.2,17.1,193.0,3400.0,female,2009
141,Adelie,Dream,40.6,17.2,187.0,3475.0,male,2009
142,Adelie,Dream,32.1,15.5,188.0,3050.0,female,2009
143,Adelie,Dream,40.7,17.0,190.0,3725.0,male,2009
144,Adelie,Dream,37.3,16.8,192.0,3000.0,female,2009
145,Adelie,Dream,39.0,18.7,185.0,3650.0,male,2009
146,Adelie,Dream,39.2,18.6,190.0,4250.0,male,2009
147,Adelie,Dream,36.6,18.4,184.0,3475.0,female,2009
148,Adelie,Dream,36.0,17.8,195.0,3450.0,female,2009
149,Adelie,Dream,37.8,18.1,193.0,3750.0,male,2009
150,Adelie,Dream,36.0,17.1,187.0,3700.0,female,2009
151,Adelie,Dream,41.5,18.5,201.0,4000.0,male,2009
0,Gentoo,Biscoe,46.1,13.2,211.0,4500.0,female,2007
1,Gentoo,Biscoe,50.0,16.3,230.0,5700.0,male,2007
2,Gentoo,Biscoe,48.7,14.1,210.0,4450.0,female,2007
3,Gentoo,Biscoe,50.0,15.2,218.0,5700.0,male,2007
4,Gentoo,Biscoe,47.6,14.5,215.0,5400.0,male,2007
5,Gentoo,Biscoe,46.5,13.5,210.0,4550.0,female,2007
6,Gentoo,Biscoe,45.4,14.6,211.0,4800.0,female,2007
7,Gentoo,Biscoe,46.7,15.3,219.0,5200.0,male,2007
8,Gentoo,Biscoe,43.3,13.4,209.0,4400.0,female,2007
9,Gentoo,Biscoe,46.8,15.4,215.0,5150.0,male,2007
10,Gentoo,Biscoe,40.9,13.7,214.0,4650.0,female,2007
11,Gentoo,Biscoe,49.0,16.1,216.0,5550.0,male,2007
12,Gentoo,Biscoe,45.5,13.7,214.0,4650.0,female,2007
13,Gentoo,Biscoe,48.4,14.6,213.0,5850.0,male,2007
14,Gentoo,Biscoe,45.8,14.6,210.0,4200.0,female,2007
15,Gentoo,Biscoe,49.3,15.7,217.0,5850.0,male,2007
16,Gentoo,Biscoe,42.0,13.5,210.0,4150.0,female,2007
17,Gentoo,Biscoe,49.2,15.2,221.0,6300.0,male,2007
18,Gentoo,Biscoe,46.2,14.5,209.0,4800.0,female,2007
19,Gentoo,Biscoe,48.7,15.1,222.0,5350.0,male,2007
20,Gentoo,Biscoe,50.2,14.3,218.0,5700.0,male,2007
21,Gentoo,Biscoe,45.1,14.5,215.0,5000.0,female,2007
22,Gentoo,Biscoe,46.5,14.5,213.0,4400.0,female,2007
23,Gentoo,Biscoe,46.3,15.8,215.0,5050.0,male,2007
24,Gentoo,Biscoe,42.9,13.1,215.0,5000.0,female,2007
25,Gentoo,Biscoe,46.1,15.1,215.0,5100.0,male,2007
26,Gentoo,Biscoe,44.5,14.3,216.0,4100.0,,2007
27,Gentoo,Biscoe,47.8,15.0,215.0,5650.0,male,2007
28,Gentoo,Biscoe,48.2,14.3,210.0,4600.0,female,2007
29,Gentoo,Biscoe,50.0,15.3,220.0,5550.0,male,2007
30,Gentoo,Biscoe,47.3,15.3,222.0,5250.0,male,2007
31,Gentoo,Biscoe,42.8,14.2,209.0,4700.0,female,2007
32,Gentoo,Biscoe,45.1,14.5,207.0,5050.0,female,2007
33,Gentoo,Biscoe,59.6,17.0,230.0,6050.0,male,2007
34,Gentoo,Biscoe,49.1,14.8,220.0,5150.0,female,2008
35,Gentoo,Biscoe,48.4,16.3,220.0,5400.0,male,2008
36,Gentoo,Biscoe,42.6,13.7,213.0,4950.0,female,2008
37,Gentoo,Biscoe,44.4,17.3,219.0,5250.0,male,2008
38,Gentoo,Biscoe,44.0,13.6,208.0,4350.0,female,2008
39,Gentoo,Biscoe,48.7,15.7,208.0,5350.0,male,2008
40,Gentoo,Biscoe,42.7,13.7,208.0,3950.0,female,2008
41,Gentoo,Biscoe,49.6,16.0,225.0,5700.0,male,2008
42,Gentoo,Biscoe,45.3,13.7,210.0,4300.0,female,2008
43,Gentoo,Biscoe,49.6,15.0,216.0,4750.0,male,2008
44,Gentoo,Biscoe,50.5,15.9,222.0,5550.0,male,2008
45,Gentoo,Biscoe,43.6,13.9,217.0,4900.0,female,2008
46,Gentoo,Biscoe,45.5,13.9,210.0,4200.0,female,2008
47,Gentoo,Biscoe,50.5,15.9,225.0,5400.0,male,2008
48,Gentoo,Biscoe,44.9,13.3,213.0,5100.0,female,2008
49,Gentoo,Biscoe,45.2,15.8,215.0,5300.0,male,2008
50,Gentoo,Biscoe,46.6,14.2,210.0,4850.0,female,2008
51,Gentoo,Biscoe,48.5,14.1,220.0,5300.0,male,2008
52,Gentoo,Biscoe,45.1,14.4,210.0,4400.0,female,2008
53,Gentoo,Biscoe,50.1,15.0,225.0,5000.0,male,2008
54,Gentoo,Biscoe,46.5,14.4,217.0,4900.0,female,2008
55,Gentoo,Biscoe,45.0,15.4,220.0,5050.0,male,2008
56,Gentoo,Biscoe,43.8,13.9,208.0,4300.0,female,2008
57,Gentoo,Biscoe,45.5,15.0,220.0,5000.0,male,2008
58,Gentoo,Biscoe,43.2,14.5,208.0,4450.0,female,2008
59,Gentoo,Biscoe,50.4,15.3,224.0,5550.0,male,2008
60,Gentoo,Biscoe,45.3,13.8,208.0,4200.0,female,2008
61,Gentoo,Biscoe,46.2,14.9,221.0,5300.0,male,2008
62,Gentoo,Biscoe,45.7,13.9,214.0,4400.0,female,2008
63,Gentoo,Biscoe,54.3,15.7,231.0,5650.0,male,2008
64,Gentoo,Biscoe,45.8,14.2,219.0,4700.0,female,2008
65,Gentoo,Biscoe,49.8,16.8,230.0,5700.0,male,2008
66,Gentoo,Biscoe,46.2,14.4,214.0,4650.0,,2008
67,Gentoo,Biscoe,49.5,16.2,229.0,5800.0,male,2008
68,Gentoo,Biscoe,43.5,14.2,220.0,4700.0,female,2008
69,Gentoo,Biscoe,50.7,15.0,223.0,5550.0,male,2008
70,Gentoo,Biscoe,47.7,15.0,216.0,4750.0,female,2008
71,Gentoo,Biscoe,46.4,15.6,221.0,5000.0,male,2008
72,Gentoo,Biscoe,48.2,15.6,221.0,5100.0,male,2008
73,Gentoo,Biscoe,46.5,14.8,217.0,5200.0,female,2008
74,Gentoo,Biscoe,46.4,15.0,216.0,4700.0,female,2008
75,Gentoo,Biscoe,48.6,16.0,230.0,5800.0,male,2008
76,Gentoo,Biscoe,47.5,14.2,209.0,4600.0,female,2008
77,Gentoo,Biscoe,51.1,16.3,220.0,6000.0,male,2008
78,Gentoo,Biscoe,45.2,13.8,215.0,4750.0,female,2008
79,Gentoo,Biscoe,45.2,16.4,223.0,5950.0,male,2008
80,Gentoo,Biscoe,49.1,14.5,212.0,4625.0,female,2009
81,Gentoo,Biscoe,52.5,15.6,221.0,5450.0,male,2009
82,Gentoo,Biscoe,47.4,14.6,212.0,4725.0,female,2009
83,Gentoo,Biscoe,50.0,15.9,224.0,5350.0,male,2009
84,Gentoo,Biscoe,44.9,13.8,212.0,4750.0,female,2009
85,Gentoo,Biscoe,50.8,17.3,228.0,5600.0,male,2009
86,Gentoo,Biscoe,43.4,14.4,218.0,4600.0,female,2009
87,Gentoo,Biscoe,51.3,14.2,218.0,5300.0,male,2009
88,Gentoo,Biscoe,47.5,14.0,212.0,4875.0,female,2009
89,Gentoo,Biscoe,52.1,17.0,230.0,5550.0,male,2009
90,Gentoo,Biscoe,47.5,15.0,218.0,4950.0,female,2009
91,Gentoo,Biscoe,52.2,17.1,228.0,5400.0,male,2009
92,Gentoo,Biscoe,45.5,14.5,212.0,4750.0,female,2009
93,Gentoo,Biscoe,49.5,16.1,224.0,5650.0,male,2009
94,Gentoo,Biscoe,44.5,14.7,214.0,4850.0,female,2009
95,Gentoo,Biscoe,50.8,15.7,226.0,5200.0,male,2009
96,Gentoo,Biscoe,49.4,15.8,216.0,4925.0,male,2009
97,Gentoo,Biscoe,46.9,14.6,222.0,4875.0,female,2009
98,Gentoo,Biscoe,48.4,14.4,203.0,4625.0,female,2009
99,Gentoo,Biscoe,51.1,16.5,225.0,5250.0,male,2009
100,Gentoo,Biscoe,48.5,15.0,219.0,4850.0,female,2009
101,Gentoo,Biscoe,55.9,17.0,228.0,5600.0,male,2009
102,Gentoo,Biscoe,47.2,15.5,215.0,4975.0,female,2009
103,Gentoo,Biscoe,49.1,15.0,228.0,5500.0,male,2009
104,Gentoo,Biscoe,47.3,13.8,216.0,4725.0,,2009
105,Gentoo,Biscoe,46.8,16.1,215.0,5500.0,male,2009
106,Gentoo,Biscoe,41.7,14.7,210.0,4700.0,female,2009
107,Gentoo,Biscoe,53.4,15.8,219.0,5500.0,male,2009
108,Gentoo,Biscoe,43.3,14.0,208.0,4575.0,female,2009
109,Gentoo,Biscoe,48.1,15.1,209.0,5500.0,male,2009
110,Gentoo,Biscoe,50.5,15.2,216.0,5000.0,female,2009
111,Gentoo,Biscoe,49.8,15.9,229.0,5950.0,male,2009
112,Gentoo,Biscoe,43.5,15.2,213.0,4650.0,female,2009
113,Gentoo,Biscoe,51.5,16.3,230.0,5500.0,male,2009
114,Gentoo,Biscoe,46.2,14.1,217.0,4375.0,female,2009
115,Gentoo,Biscoe,55.1,16.0,230.0,5850.0,male,2009
116,Gentoo,Biscoe,44.5,15.7,217.0,4875.0,,2009
117,Gentoo,Biscoe,48.8,16.2,222.0,6000.0,male,2009
118,Gentoo,Biscoe,47.2,13.7,214.0,4925.0,female,2009
119,Gentoo,Biscoe,,,,,,2009
120,Gentoo,Biscoe,46.8,14.3,215.0,4850.0,female,2009
121,Gentoo,Biscoe,50.4,15.7,222.0,5750.0,male,2009
122,Gentoo,Biscoe,45.2,14.8,212.0,5200.0,female,2009
123,Gentoo,Biscoe,49.9,16.1,213.0,5400.0,male,2009
0,Chinstrap,Dream,46.5,17.9,192.0,3500.0,female,2007
1,Chinstrap,Dream,50.0,19.5,196.0,3900.0,male,2007
2,Chinstrap,Dream,51.3,19.2,193.0,3650.0,male,2007
3,Chinstrap,Dream,45.4,18.7,188.0,3525.0,female,2007
4,Chinstrap,Dream,52.7,19.8,197.0,3725.0,male,2007
5,Chinstrap,Dream,45.2,17.8,198.0,3950.0,female,2007
6,Chinstrap,Dream,46.1,18.2,178.0,3250.0,female,2007
7,Chinstrap,Dream,51.3,18.2,197.0,3750.0,male,2007
8,Chinstrap,Dream,46.0,18.9,195.0,4150.0,female,2007
9,Chinstrap,Dream,51.3,19.9,198.0,3700.0,male,2007
10,Chinstrap,Dream,46.6,17.8,193.0,3800.0,female,2007
11,Chinstrap,Dream,51.7,20.3,194.0,3775.0,male,2007
12,Chinstrap,Dream,47.0,17.3,185.0,3700.0,female,2007
13,Chinstrap,Dream,52.0,18.1,201.0,4050.0,male,2007
14,Chinstrap,Dream,45.9,17.1,190.0,3575.0,female,2007
15,Chinstrap,Dream,50.5,19.6,201.0,4050.0,male,2007
16,Chinstrap,Dream,50.3,20.0,197.0,3300.0,male,2007
17,Chinstrap,Dream,58.0,17.8,181.0,3700.0,female,2007
18,Chinstrap,Dream,46.4,18.6,190.0,3450.0,female,2007
19,Chinstrap,Dream,49.2,18.2,195.0,4400.0,male,2007
20,Chinstrap,Dream,42.4,17.3,181.0,3600.0,female,2007
21,Chinstrap,Dream,48.5,17.5,191.0,3400.0,male,2007
22,Chinstrap,Dream,43.2,16.6,187.0,2900.0,female,2007
23,Chinstrap,Dream,50.6,19.4,193.0,3800.0,male,2007
24,Chinstrap,Dream,46.7,17.9,195.0,3300.0,female,2007
25,Chinstrap,Dream,52.0,19.0,197.0,4150.0,male,2007
26,Chinstrap,Dream,50.5,18.4,200.0,3400.0,female,2008
27,Chinstrap,Dream,49.5,19.0,200.0,3800.0,male,2008
28,Chinstrap,Dream,46.4,17.8,191.0,3700.0,female,2008
29,Chinstrap,Dream,52.8,20.0,205.0,4550.0,male,2008
30,Chinstrap,Dream,40.9,16.6,187.0,3200.0,female,2008
31,Chinstrap,Dream,54.2,20.8,201.0,4300.0,male,2008
32,Chinstrap,Dream,42.5,16.7,187.0,3350.0,female,2008
33,Chinstrap,Dream,51.0,18.8,203.0,4100.0,male,2008
34,Chinstrap,Dream,49.7,18.6,195.0,3600.0,male,2008
35,Chinstrap,Dream,47.5,16.8,199.0,3900.0,female,2008
36,Chinstrap,Dream,47.6,18.3,195.0,3850.0,female,2008
37,Chinstrap,Dream,52.0,20.7,210.0,4800.0,male,2008
38,Chinstrap,Dream,46.9,16.6,192.0,2700.0,female,2008
39,Chinstrap,Dream,53.5,19.9,205.0,4500.0,male,2008
40,Chinstrap,Dream,49.0,19.5,210.0,3950.0,male,2008
41,Chinstrap,Dream,46.2,17.5,187.0,3650.0,female,2008
42,Chinstrap,Dream,50.9,19.1,196.0,3550.0,male,2008
43,Chinstrap,Dream,45.5,17.0,196.0,3500.0,female,2008
44,Chinstrap,Dream,50.9,17.9,196.0,3675.0,female,2009
45,Chinstrap,Dream,50.8,18.5,201.0,4450.0,male,2009
46,Chinstrap,Dream,50.1,17.9,190.0,3400.0,female,2009
47,Chinstrap,Dream,49.0,19.6,212.0,4300.0,male,2009
48,Chinstrap,Dream,51.5,18.7,187.0,3250.0,male,2009
49,Chinstrap,Dream,49.8,17.3,198.0,3675.0,female,2009
50,Chinstrap,Dream,48.1,16.4,199.0,3325.0,female,2009
51,Chinstrap,Dream,51.4,19.0,201.0,3950.0,male,2009
52,Chinstrap,Dream,45.7,17.3,193.0,3600.0,female,2009
53,Chinstrap,Dream,50.7,19.7,203.0,4050.0,male,2009
54,Chinstrap,Dream,42.5,17.3,187.0,3350.0,female,2009
55,Chinstrap,Dream,52.2,18.8,197.0,3450.0,male,2009
56,Chinstrap,Dream,45.2,16.6,191.0,3250.0,female,2009
57,Chinstrap,Dream,49.3,19.9,203.0,4050.0,male,2009
58,Chinstrap,Dream,50.2,18.8,202.0,3800.0,male,2009
59,Chinstrap,Dream,45.6,19.4,194.0,3525.0,female,2009
60,Chinstrap,Dream,51.9,19.5,206.0,3950.0,male,2009
61,Chinstrap,Dream,46.8,16.5,189.0,3650.0,female,2009
62,Chinstrap,Dream,45.7,17.0,195.0,3650.0,female,2009
63,Chinstrap,Dream,55.8,19.8,207.0,4000.0,male,2009
64,Chinstrap,Dream,43.5,18.1,202.0,3400.0,female,2009
65,Chinstrap,Dream,49.6,18.2,193.0,3775.0,male,2009
66,Chinstrap,Dream,50.8,19.0,210.0,4100.0,male,2009
67,Chinstrap,Dream,50.2,18.7,198.0,3775.0,female,2009
