"year","gender","age","height_cm","waist_size_cm","inseam_cm","test_group","salary_self_report_in_k","months_active","num_purchases","amount_spent_annual"
2020,"woman",33,163,93,73,0,71.05,21,67,615.89
2019,"woman",41,177,91,76,0,64.31,19,31,615.65
2021,"man",34,157,91,78,0,60.3,13,17,532.7
2022,"woman",36,160,89,70,0,72.11,11,60,854.16
2019,"woman",32,164,99,75,0,66.78,10,68,803.43
2022,"man",45,172,83,74,0,71.01,16,62,866.31
2021,"woman",32,177,101,72,0,56.41,8,84,661.97
2022,"woman",38,163,81,76,0,76.35,1,95,809.19
2021,"woman",33,172,84,74,0,85.06,21,26,885.69
2021,"woman",45,164,102,71,0,51.58,20,9,816.4
2020,"woman",23,174,83,72,0,61.51,7,58,699.96
2019,"woman",34,165,97,73,0,61.69,23,59,573.43
2019,"woman",19,169,108,74,0,43.28,2,7,559.53
2022,"woman",23,162,100,74,0,74.49,14,15,1027.28
2019,"woman",20,169,92,70,0,57.09,7,6,596.6
2019,"woman",44,165,99,76,0,63.02,1,32,572.61
2021,"woman",31,176,90,76,0,86.13,21,93,796.48
2020,"woman",23,169,95,73,0,43.88,15,83,709.92
2019,"woman",18,159,97,75,0,50.34,13,7,639.3
2021,"woman",31,167,97,72,0,85.71,13,98,952.53
2019,"nonbinary",41,167,92,74,0,54.24,16,10,723.51
2021,"man",40,173,98,76,0,69.15,18,64,752.91
2019,"nonbinary",22,174,102,72,0,86.51,7,22,873.75
2020,"man",25,175,90,76,0,83.62,8,93,819.2
2019,"woman",43,174,90,74,0,60.54,24,4,486.87
2022,"woman",22,162,98,71,0,80.01,2,86,770.84
2022,"other",37,175,97,72,0,86.56,5,64,885.9
2022,"man",33,164,86,76,0,62.99,17,94,818.98
2019,"man",20,160,92,73,0,39.94,10,96,617.51
2020,"woman",39,168,95,76,0,53.8,13,75,769.43
2019,"woman",21,164,104,78,0,58.17,17,21,599.27
2022,"woman",21,164,95,73,0,83.67,4,15,886.96
2021,"woman",46,173,98,76,0,88.26,12,89,996.13
2022,"woman",31,173,92,73,0,64.94,11,94,821.45
2021,"woman",26,157,87,73,0,67.86,5,75,754.97
2021,"man",32,171,100,72,0,83.14,19,81,822.64
2021,"man",37,173,96,73,0,60.12,9,7,847.02
2022,"woman",22,167,84,75,0,79.17,11,2,1000.62
2022,"woman",28,176,103,77,0,67.08,12,39,824.23
2019,"woman",40,173,90,76,0,45.43,7,93,593.53
2021,"woman",26,164,100,75,0,67.63,2,72,829.32
2020,"woman",41,170,91,73,0,55.53,21,84,672.71
2020,"woman",37,168,112,74,0,45,6,99,805.25
2019,"woman",37,169,101,74,0,58.72,19,69,596.25
2019,"man",36,161,96,75,0,68.26,12,61,689.88
2022,"nonbinary",21,164,92,72,0,79.86,22,11,874.68
2021,"woman",31,175,91,74,0,76.89,19,43,776.58
2019,"man",36,164,84,72,0,62.62,4,66,521.9
2021,"woman",46,167,98,NA,0,64.6,21,50,588.02
2020,"other",33,164,94,74,0,56.8,5,13,541.74
2020,"woman",23,155,104,74,0,67.15,19,49,602.52
2019,"woman",44,166,95,75,0,47.16,0,10,537.6
2020,"woman",20,172,99,74,0,66.64,6,74,840.83
2021,"woman",19,165,87,76,0,75.43,11,30,994.38
2020,"woman",26,173,90,74,0,59.77,17,90,787.74
2019,"woman",36,175,95,71,0,48.17,23,32,382.82
2022,"man",24,166,92,73,0,78.77,14,61,948.14
2020,"nonbinary",37,167,95,74,0,74.27,11,46,841.7
2021,"woman",36,177,89,76,0,74.7,9,31,770.88
2021,"other",43,166,95,73,0,84.38,3,31,846.53
2019,"woman",31,170,98,72,0,68.8,14,81,853.94
2019,"woman",28,170,93,74,0,51.99,9,12,673.67
2019,"woman",36,172,101,71,0,52.39,19,7,534.09
2021,"woman",39,163,92,72,0,96.96,2,62,829.55
2022,"man",40,179,100,72,0,72.94,10,44,851.12
2021,"man",40,161,105,77,0,81.15,1,71,750.52
2022,"woman",41,171,86,72,0,70.04,21,3,714.61
2019,"man",33,165,95,75,0,66.73,3,34,553.28
2021,"woman",23,158,91,72,0,77.83,2,39,669.51
2022,"woman",46,178,98,72,0,68.47,18,87,840.92
2020,"woman",33,166,101,75,0,62.47,16,83,747.75
2021,"woman",21,155,88,74,0,71.94,13,50,855.39
2019,"man",45,171,97,77,0,69.01,1,50,631.98
2021,"woman",35,158,93,75,0,72.02,20,34,635.69
2022,"woman",26,171,91,75,0,68.39,9,56,845.6
2019,"woman",32,165,90,76,0,61.91,18,49,571.42
2021,"woman",23,167,97,78,0,69.42,4,24,623.56
2022,"nonbinary",44,167,91,73,0,83.28,15,28,971.24
2021,"woman",28,166,94,75,0,61.55,13,75,896.14
2020,"man",38,177,94,74,0,69.77,16,32,708.94
2022,"woman",41,164,99,74,0,59.15,11,46,869.13
2020,"woman",21,168,101,72,0,82.14,19,18,931.5
2020,"woman",35,165,96,76,0,57.28,23,27,494.89
2019,"man",42,168,98,72,0,64.53,3,44,615.83
2020,"woman",25,175,109,76,0,73.78,19,25,696.16
2019,"man",20,163,104,77,0,56.75,6,14,640.34
2020,"woman",20,174,83,75,0,66.89,7,14,836.74
2019,"man",20,160,104,72,0,73.89,2,66,567.41
2020,"woman",35,161,97,77,0,61.22,12,68,735.65
2021,"woman",37,168,101,74,0,69.81,14,89,951.4
2021,"woman",42,172,98,77,0,73.22,14,69,788.23
2021,"woman",30,154,103,77,0,64.19,23,47,418.76
2020,"man",38,168,98,71,0,77.86,10,74,844.3
2019,"woman",45,159,95,73,0,69.94,0,78,553.75
2019,"woman",36,159,83,73,0,66.38,19,52,696.39
2021,"man",38,167,103,79,0,59.93,16,61,660.69
2021,"woman",47,176,99,74,0,60.76,1,10,578.33
2021,"woman",29,168,96,75,0,69.15,16,27,777.79
2020,"woman",34,164,87,75,0,66,4,28,741.61
2022,"woman",25,167,88,73,0,89.26,19,90,1175.87
2021,"woman",31,167,98,77,0,85.2,0,37,584.47
2019,"woman",43,162,108,72,0,70.48,16,72,827.31
2022,"woman",45,180,102,74,0,50.35,4,55,781.54
2020,"woman",46,169,98,73,0,48.27,19,10,785.09
2019,"woman",24,166,82,73,0,39.32,11,19,678.87
2020,"man",39,159,102,75,0,71.69,11,44,712.71
2020,"woman",36,157,95,74,0,63.99,1,77,488.39
2019,"nonbinary",28,166,95,75,0,47.53,6,9,495.74
2021,"man",30,178,99,72,0,75.3,16,15,689.88
2022,"man",41,171,97,72,0,69.66,20,21,762.46
2019,"woman",45,166,98,74,0,57.36,12,27,886.23
2021,"woman",33,172,93,74,0,46.2,24,15,506.86
2022,"woman",45,170,92,76,0,74.34,23,69,800.75
2021,"woman",45,174,94,75,0,70.28,16,30,1004.92
2022,"woman",27,169,89,74,0,55.65,21,12,698.5
2021,"woman",32,181,91,70,0,68.06,8,44,511.9
2020,"other",21,165,102,72,0,60.64,16,88,870.83
2021,"woman",46,165,83,72,0,73.76,20,65,785.6
2019,"man",30,173,94,77,0,74.77,20,48,626.89
2019,"woman",24,173,99,69,0,68.44,8,29,592.28
2022,"woman",25,161,94,78,0,80.1,6,54,798.45
2019,"woman",31,172,107,73,0,56.27,7,52,668.36
2022,"woman",38,171,93,75,0,69.6,14,10,946.59
2020,"woman",35,168,98,71,0,56.35,6,77,731.55
2019,"woman",27,171,98,76,0,36.92,11,3,580.86
2020,"woman",20,148,89,73,0,63.72,12,65,434.99
2021,"woman",36,158,108,75,0,61.08,23,77,624.5
2022,"nonbinary",45,160,106,72,0,72.88,8,12,940.24
2020,"man",28,169,101,71,0,76.77,10,9,722.37
2022,"woman",24,167,99,72,0,86.27,19,3,833.91
2021,"woman",25,166,101,68,0,82.16,23,30,474.56
2022,"woman",47,167,94,74,0,69.76,0,51,723.71
2021,"woman",38,175,109,75,0,70.26,20,94,797.72
2020,"man",43,167,92,72,0,61.63,13,27,706.01
2019,"other",41,173,91,75,0,70.98,1,97,665.34
2020,"woman",32,164,101,74,0,61.58,13,43,806.42
2022,"woman",33,156,92,76,0,73.82,15,4,794.76
2021,"woman",43,172,86,72,0,48.86,17,67,800.7
2019,"nonbinary",39,168,99,75,0,53.9,19,88,688.85
2019,"woman",34,176,93,74,0,65.07,10,30,712.06
2021,"woman",33,174,103,72,0,68.13,16,65,790.72
2021,"woman",35,168,101,76,0,64.01,13,13,848.2
2020,"nonbinary",41,171,96,76,0,62.5,9,63,831.72
2019,"man",35,152,101,72,0,59.13,5,35,322.91
2022,"nonbinary",27,158,99,NA,0,64.27,16,11,683.53
2021,"woman",45,162,91,75,0,47.72,21,70,749.76
2020,"woman",42,174,104,74,0,77.3,2,79,796.57
2022,"woman",40,167,89,68,0,77.15,11,86,717.5
2019,"woman",31,173,99,74,0,65.16,22,82,579.38
2022,"nonbinary",29,165,99,75,0,57.62,14,99,896.21
2019,"woman",30,171,82,73,0,56.85,15,5,617.82
2022,"woman",35,160,99,76,0,80.6,9,84,1001.99
2022,"woman",41,166,95,75,0,76.29,4,82,865.02
2021,"woman",23,176,93,75,0,78.58,19,90,867.87
2019,"woman",35,166,92,76,0,67.86,9,36,744.09
2021,"woman",21,156,98,70,0,84.06,17,96,682.29
2021,"nonbinary",41,164,112,79,0,81.72,15,30,724.46
2022,"man",25,169,95,74,0,85.96,3,25,853.17
2021,"man",44,172,86,74,0,58.88,19,15,778.44
2019,"woman",39,170,90,75,0,47.81,8,80,668.32
2021,"woman",36,149,93,77,0,56.92,13,96,319.83
2020,"woman",47,163,94,78,0,74.45,4,24,664.65
2019,"woman",34,170,87,73,0,79.97,10,21,714.77
2022,"man",19,175,99,75,0,77.84,10,31,949.83
2019,"woman",46,174,98,69,0,51.43,7,5,463.9
2020,"man",24,170,99,72,0,75.83,17,23,711.53
2022,"woman",19,163,80,72,0,94.22,13,67,1027.47
2022,"woman",27,165,89,75,0,90.35,6,68,1016.79
2019,"woman",28,166,94,74,0,48.82,6,36,597.03
2022,"nonbinary",27,160,100,73,0,67.94,10,4,829.96
2019,"woman",25,172,94,73,0,64.79,17,52,697.45
2021,"woman",33,161,92,73,0,83.1,13,61,880.44
2021,"woman",40,165,98,72,0,65.62,6,58,718.12
2021,"nonbinary",38,165,86,72,0,59.45,16,35,862.1
2021,"woman",33,170,109,74,0,82.2,4,55,907.63
2019,"woman",45,166,96,73,0,49.24,16,47,759.83
2022,"man",30,174,95,76,0,76.09,2,94,738.1
2020,"woman",22,162,88,77,0,69.23,13,98,931.15
2021,"man",42,174,96,76,0,82.41,10,12,934.19
2022,"woman",20,162,107,74,0,69.68,5,63,962.89
2022,"woman",39,177,98,74,0,63.05,10,63,867.75
2019,"woman",33,171,100,76,0,62.15,14,49,607.36
2020,"woman",31,177,100,75,0,59.69,11,70,678.38
2019,"woman",33,176,100,76,0,71.7,1,81,429.83
2020,"woman",21,175,96,74,0,77.68,10,6,915.84
2019,"woman",32,164,103,77,0,54.11,7,83,557.94
2020,"woman",27,167,92,74,0,62.62,21,26,650.87
2019,"man",25,169,96,74,0,76.96,14,32,827.13
2022,"nonbinary",40,175,93,73,0,82.48,2,48,858.01
2022,"nonbinary",38,171,85,74,0,66.46,14,90,942.74
2021,"other",23,176,113,76,0,100.33,19,95,872.57
2019,"woman",40,166,97,75,0,66.61,19,60,732.18
2019,"man",42,177,87,74,0,45.12,10,43,643.51
2019,"woman",30,170,88,78,0,51.24,6,20,484.36
2019,"woman",27,170,94,76,0,64.59,19,52,682
2019,"woman",35,161,95,75,0,66.04,8,55,631.71
2020,"nonbinary",20,165,106,70,0,74.17,18,90,774.55
2021,"man",29,163,87,79,0,71.58,18,97,680.1
2022,"man",23,172,79,73,0,75.45,10,17,919.37
2020,"woman",41,164,88,71,0,82.37,0,75,645.29
2019,"man",27,160,93,74,0,62.16,14,99,746.97
2021,"woman",24,166,94,79,0,86.74,23,59,630.53
2019,"woman",44,171,105,72,0,57.04,17,69,737.51
2022,"nonbinary",22,172,86,72,0,63.81,15,91,902.75
2020,"man",38,172,95,71,0,62.17,7,79,693.61
2021,"nonbinary",21,168,99,75,0,68.35,21,56,820.86
2019,"man",29,174,89,73,0,64.32,2,42,554.32
2019,"man",22,164,97,75,0,71.87,3,79,678.1
2019,"woman",47,161,95,74,0,66.79,11,80,843.72
2019,"woman",29,162,81,76,0,67.72,1,76,412.48
2020,"woman",35,152,104,76,0,68.63,23,8,253.31
2021,"woman",40,170,97,76,0,66.45,5,76,821.83
2021,"woman",47,165,98,73,0,74.94,9,9,937.72
2021,"woman",45,168,86,73,0,80.92,3,33,888.01
2019,"woman",47,173,90,77,0,47.44,18,93,689.62
2022,"woman",32,158,94,77,0,90.18,1,35,682.51
2021,"woman",25,172,103,73,0,72.62,8,93,881.52
2022,"woman",43,163,98,75,0,81.62,10,35,945.47
2020,"woman",42,179,92,73,0,34.21,9,37,625.86
2019,"man",28,157,100,72,0,52.39,23,78,487.04
2021,"woman",20,166,93,NA,0,68.83,21,75,872.3
2022,"woman",23,170,94,77,0,64.38,17,98,829.97
2020,"woman",22,160,96,77,0,61.29,12,88,726.14
2021,"woman",42,172,90,73,0,71,17,66,871.12
2019,"woman",20,171,95,72,0,69.4,21,54,785.23
2020,"woman",27,160,105,76,0,64.47,11,58,796.82
2019,"woman",20,174,88,75,0,62.65,16,8,744.3
2021,"woman",46,172,98,72,0,76.27,16,46,996.65
2022,"woman",26,159,101,76,0,73.3,16,93,825.65
2022,"woman",34,175,107,80,0,65.43,13,78,537.18
2022,"man",39,171,105,74,0,94.29,13,16,988.09
2019,"woman",33,167,100,76,0,82.67,24,65,572.26
2019,"woman",32,173,97,74,0,58.62,11,99,777.27
2021,"man",36,180,96,77,0,67.01,21,46,539.98
2022,"woman",36,167,113,76,0,79.8,0,6,716.14
2020,"woman",36,165,94,NA,0,66.15,2,29,619.02
2020,"woman",39,170,95,73,0,59.09,3,31,525.9
2021,"woman",19,164,91,77,0,58.11,10,65,800.33
2020,"woman",29,162,92,77,0,76.48,12,81,787.69
2022,"man",20,170,92,74,0,83.21,16,31,986.47
2021,"woman",25,167,107,76,0,74.44,10,49,871.54
2019,"man",46,163,106,73,0,60.11,20,43,759.78
2022,"woman",22,163,87,77,0,90.71,17,51,961.33
2019,"man",39,172,95,77,0,56.86,15,73,612.89
2022,"man",23,175,98,74,0,80.72,10,62,1007.69
2019,"woman",38,170,91,74,0,69.05,14,17,769.84
2020,"woman",35,165,97,72,0,73.52,11,78,811.26
2022,"nonbinary",34,164,91,76,0,85.85,19,74,854.32
2022,"man",20,167,87,78,0,72.08,1,75,756.01
2021,"man",41,178,87,75,0,58.32,8,51,643.55
2022,"woman",30,178,88,76,0,71.45,11,65,848.86
2020,"woman",22,169,94,72,0,66.07,3,91,642.07
2019,"woman",27,168,97,75,0,42.46,1,42,372.39
2021,"woman",27,171,92,75,0,76.02,16,18,880.14
2019,"woman",28,182,101,76,0,67.71,14,26,526.85
2022,"man",21,165,89,70,0,83.42,3,14,809.94
2019,"woman",20,174,98,70,0,59.72,5,36,594.83
2020,"woman",42,167,109,72,0,71.25,7,82,811.39
2021,"woman",45,186,86,75,0,90.97,17,21,759.19
2020,"woman",42,169,98,72,0,66.27,2,26,618.45
2022,"woman",22,166,102,71,0,83.75,18,63,901.91
2020,"woman",31,170,87,73,0,77.18,23,2,691.38
2020,"other",39,166,95,71,0,60.5,19,49,701.95
2019,"man",27,172,83,67,0,76.28,18,88,354.41
2019,"woman",32,155,82,71,0,63.22,1,78,490.65
2020,"woman",45,169,91,73,0,73.28,22,31,803.7
2019,"man",36,161,93,75,0,68,23,28,433.48
2022,"other",21,171,89,74,0,57.65,12,4,880.67
2019,"woman",41,164,97,74,0,51.9,5,96,649.14
2019,"woman",42,161,79,74,0,63.52,19,93,602.71
2021,"woman",40,171,89,75,0,72.26,14,55,957.16
2022,"woman",33,165,78,71,0,86.56,15,84,894.61
2020,"woman",38,166,85,74,0,59.31,16,41,738.59
2019,"woman",40,170,97,72,0,50.47,6,5,556.41
2019,"man",25,172,89,77,0,54.89,13,27,662.18
2021,"woman",42,165,98,72,0,87.57,22,61,885.96
2020,"woman",31,166,99,72,0,60.4,3,96,691.08
2022,"woman",19,165,98,77,0,69.54,20,38,716.68
2021,"woman",46,181,91,74,0,60.23,11,36,808.1
2021,"woman",26,162,90,71,0,68.01,15,89,790.35
2022,"woman",44,172,85,73,0,50.98,1,29,638.63
2022,"man",37,163,91,76,0,69.99,4,76,766.94
2020,"woman",21,179,111,73,0,52.3,1,90,602.14
2021,"woman",19,164,92,75,0,62.95,14,21,907.62
2022,"woman",42,159,98,73,0,75.84,6,100,958.12
2019,"woman",36,169,89,71,0,41.44,1,36,470.1
2022,"man",36,167,84,75,0,72.19,3,39,818.67
2021,"woman",40,168,88,76,0,74.33,22,31,763.36
2022,"woman",46,161,79,75,0,87.2,9,46,1136
2021,"woman",20,178,88,72,0,79.57,18,25,835.2
2020,"woman",31,165,95,71,0,59.05,10,6,618.66
2020,"nonbinary",40,157,100,73,0,56.64,18,14,507.88
2021,"woman",NA,175,93,71,0,71.86,3,69,670.39
2019,"woman",21,171,92,75,0,46.74,11,30,727.5
2021,"woman",23,170,99,73,0,76.43,2,41,804.44
2021,"woman",27,170,105,71,0,76.97,1,55,654.48
2019,"woman",44,169,88,74,0,62.15,3,3,658.49
2021,"woman",19,172,96,73,0,74.19,21,38,848.69
2022,"man",36,177,92,68,0,73.42,12,33,596.92
2019,"woman",21,165,104,73,0,54.27,15,27,669.21
2020,"woman",29,162,102,77,0,69.75,0,17,531.75
2020,"woman",41,164,92,75,0,66.1,20,100,848.03
2022,"woman",24,182,95,72,0,69.05,21,82,678.95
2022,"woman",38,164,111,75,0,68.43,9,9,881.79
2022,"woman",21,167,95,73,0,79.14,20,93,988.23
2021,"nonbinary",24,169,90,74,0,76.18,17,18,934.51
2021,"woman",37,175,93,NA,0,71.72,15,30,698.29
2022,"woman",29,165,94,74,0,82.49,21,37,852.04
2020,"other",42,168,100,73,0,59.14,17,64,780.36
2021,"woman",41,162,102,71,0,82.01,9,32,873.06
2019,"woman",36,169,97,76,0,56.51,15,28,659.24
2019,"man",44,166,107,76,0,65.85,1,37,574.6
2020,"man",33,166,104,74,0,77.14,9,34,821.92
2020,"woman",42,180,105,75,0,58.4,3,15,481.32
2019,"woman",43,170,98,74,0,42.2,8,13,603.52
2019,"woman",26,168,92,77,0,53.36,14,84,786.39
2019,"man",34,173,93,72,0,56.68,1,16,440.65
2019,"man",31,170,89,74,0,44.36,19,85,543.36
2019,"man",24,177,107,76,0,38.66,14,52,547.35
2020,"woman",43,176,96,72,0,71.04,16,50,711.93
2019,"man",40,171,93,74,0,75.22,13,62,846.94
2021,"woman",44,160,95,74,0,96.63,10,86,1162.66
2022,"woman",34,170,78,75,0,67.9,10,4,905.34
2021,"woman",36,167,98,74,0,78.27,11,17,912.6
2022,"woman",23,178,101,73,0,62.21,17,11,805.9
2021,"woman",25,178,96,75,0,48.47,13,88,778.9
2022,"woman",34,169,104,76,0,78.55,18,65,1040.62
2021,"man",31,173,95,75,0,83.72,12,71,864.82
2022,"woman",32,168,99,76,0,84.89,15,6,965.9
2020,"woman",22,178,98,78,0,38.03,6,73,474.88
2019,"woman",41,165,93,73,0,56.26,14,93,718.19
2022,"woman",30,171,93,74,0,82.46,10,63,998.76
2020,"woman",39,168,84,74,0,63.02,16,40,729.71
2020,"woman",46,166,94,73,0,50.1,19,13,720.56
2019,"woman",21,166,97,75,0,48.18,7,45,694.84
2021,"woman",39,174,103,78,0,58.7,9,32,661.91
2021,"woman",36,157,95,72,0,64.31,7,11,617.57
2021,"woman",35,168,90,72,0,81.89,7,23,879.59
2022,"woman",31,177,93,75,0,61.81,6,41,627.78
2019,"woman",37,155,82,75,0,43.45,21,81,377.84
2021,"man",39,167,91,74,0,57.18,23,68,704
2019,"man",34,163,86,73,0,71.5,16,15,699.91
2021,"woman",39,165,95,70,0,64.41,16,38,663.67
2021,"woman",34,164,98,73,0,83.78,7,71,849.53
2022,"woman",20,168,102,72,0,69.39,10,99,924.9
2020,"woman",35,167,98,73,0,76.43,1,20,647.84
2019,"woman",36,174,84,75,0,58.33,20,30,582.01
2020,"nonbinary",36,167,103,75,0,78.91,7,18,821.38
2021,"other",32,161,94,77,0,84.5,2,19,598.38
2022,"man",32,163,92,74,0,75.13,14,67,926.38
2022,"woman",45,170,94,73,0,79.34,13,52,1090.18
2019,"woman",36,170,97,73,0,59.2,2,68,632.95
2020,"man",29,167,88,74,0,70.28,18,46,821.7
2020,"woman",19,173,103,75,0,63.22,19,49,825.19
2020,"woman",30,165,82,73,0,71.72,13,78,806.04
2022,"man",20,168,97,70,0,59.39,11,90,847.5
2022,"man",27,178,98,72,0,80.51,7,94,913.76
2022,"woman",28,165,102,76,0,83.87,5,69,905.3
2020,"woman",37,172,88,72,0,72.92,24,22,628.33
2021,"man",32,176,93,74,0,65.97,7,44,771.32
2019,"woman",30,161,95,73,0,53.31,24,79,518.8
2022,"woman",37,168,92,75,0,58.67,8,74,892.55
2020,"nonbinary",43,155,93,75,0,73.93,0,17,462.06
2020,"nonbinary",38,173,100,74,0,67.01,17,56,801.1
2020,"woman",31,167,93,75,0,68.76,14,32,739.17
2019,"woman",18,166,88,78,0,63.31,11,89,645.82
2022,"woman",40,174,103,73,0,80.99,23,5,756.66
2019,"woman",33,168,101,72,0,59.55,5,54,565.41
2021,"woman",43,170,97,77,0,60.04,19,67,734.12
2021,"nonbinary",34,163,96,78,0,71.68,2,94,618.74
2021,"nonbinary",20,160,91,76,0,79.38,21,28,763.78
2019,"woman",40,170,90,73,0,54.81,2,28,605.6
2020,"woman",40,157,85,76,0,69.28,6,58,597
2019,"nonbinary",44,167,90,72,0,57.29,20,2,632.07
2022,"woman",41,165,84,73,0,80.51,3,7,935.62
2020,"woman",29,167,107,73,0,64.94,20,78,767.32
2020,"woman",30,167,90,77,0,55.29,17,11,553.96
2019,"woman",32,170,91,75,0,41.32,13,67,670.41
2019,"man",21,178,89,73,0,64.54,21,90,609.39
2022,"woman",43,156,99,78,0,80.17,12,89,777.91
2022,"woman",42,170,105,75,0,72.21,16,50,900.79
2019,"woman",43,169,85,74,0,61.92,16,31,692.94
2019,"woman",42,170,96,75,0,67.48,1,45,664.08
2020,"man",37,158,90,NA,0,66.16,22,55,631.89
2020,"woman",41,174,105,75,0,64.35,11,69,761.14
2021,"woman",26,171,91,72,0,74.96,15,7,857.17
2020,"nonbinary",40,165,90,74,0,68.07,5,95,808.16
2022,"woman",23,168,93,75,0,66.49,23,43,715.08
2021,"woman",23,177,94,73,0,67.05,7,10,821.31
2021,"woman",22,166,95,74,0,78.71,11,3,1017.59
2021,"woman",24,171,100,72,0,81.93,2,63,854.6
2019,"woman",25,170,103,72,0,51.57,23,41,419.04
2019,"woman",23,164,101,72,0,56.69,23,2,444.71
2020,"other",28,157,91,76,0,58.08,15,32,549.7
2019,"woman",43,165,96,77,0,56.74,6,12,605.35
2019,"other",46,176,94,70,0,62.01,12,29,697.07
2020,"man",42,165,105,73,0,NA,17,49,792.76
2020,"woman",25,160,86,74,0,58.16,18,0,614.7
2021,"woman",26,169,104,74,0,71.9,19,44,848.13
2019,"woman",19,162,98,76,0,57.91,15,61,726.4
2020,"woman",35,166,107,77,0,60.63,20,93,697.95
2019,"woman",19,171,90,69,0,63.18,10,91,745.94
2020,"woman",29,172,91,75,0,74.05,21,25,813.03
2019,"woman",47,159,96,70,0,49.01,3,13,426.34
2022,"woman",19,164,93,74,0,95.74,13,95,1257.47
2020,"woman",44,175,92,78,0,58.63,10,44,701.85
2020,"woman",19,179,94,76,0,36.77,20,58,487.46
2019,"woman",27,173,91,75,0,68.67,22,48,642.41
2021,"man",29,164,98,75,0,68.64,23,9,671.89
2019,"woman",30,155,104,74,0,69.97,11,71,638.43
2020,"woman",36,170,83,70,0,76.29,20,6,645.25
2019,"woman",42,167,95,75,0,57.68,6,47,700.8
2019,"woman",41,161,83,74,0,52.29,21,56,633.84
2021,"woman",37,160,103,71,0,81.07,10,100,796.86
2022,"woman",21,166,86,75,0,86.81,12,52,1131.62
2022,"woman",26,173,101,72,0,64.25,0,81,691.18
2021,"man",28,170,96,76,0,43.39,7,38,685.33
2020,"man",38,175,93,75,0,59.46,1,13,521.19
2021,"woman",46,161,107,77,0,66.05,1,21,695.95
2020,"man",23,168,99,76,0,63.13,4,66,681.71
2019,"woman",22,170,101,72,0,40.74,22,21,515.18
2022,"man",43,167,95,73,0,69.23,1,66,686.02
2019,"woman",43,165,91,72,0,59.46,15,75,895.41
2021,"man",31,169,96,74,0,61.11,11,58,808.9
2021,"woman",19,167,84,70,0,66.12,20,0,798.59
2022,"woman",39,170,95,75,0,83.33,3,31,1034.03
2021,"man",42,157,94,77,0,68.9,13,30,719.7
2021,"woman",20,172,100,74,0,58.67,20,46,795.28
2019,"woman",32,160,105,72,0,69.44,10,70,767.05
2021,"man",43,169,109,73,0,69.65,16,48,799.58
2019,"woman",45,173,88,75,0,50.65,3,73,570.85
2021,"man",22,163,111,76,0,61.16,11,26,770.95
2019,"woman",22,161,85,73,0,63.05,17,99,730.4
2019,"woman",29,165,90,71,0,84.93,9,13,767.59
2020,"man",36,177,97,75,0,74.82,14,72,736.86
2021,"woman",43,164,86,73,0,74.69,9,92,1017.5
2020,"man",41,160,108,75,0,64.63,22,75,612.73
2021,"man",44,155,91,73,0,58.32,7,16,618.97
