"","Position","correct","randomiser.6l9g","Trial.Number","out_degree","in_degree","total_degree","Length","Log_Freq_HAL","Ortho_N","Phono_N","Concreteness_Rating","Age_Of_Acquisition","Female"
"117",2,1,"List1",26,17,4,21,5,7.026,3,14,4.2,9.89,0
"118",4,1,"List2",94,14,10,24,4,8.362,8,11,4,4.83,1
"119",6,1,"List2",90,7,19,26,4,9.038,10,33,4.2,7.11,1
"120",6,0,"List2",90,13,2,15,3,8.758,18,27,4.11,3.15,1
"121",5,1,"List1",29,20,2,22,5,8.338,5,11,2.63,8.95,0
"122",1,1,"List1",97,12,43,55,5,8.321,1,8,4.89,6.53,0
"123",6,0,"List1",84,14,46,60,3,8.322,9,32,2.52,5.32,0
"124",2,1,"List2",32,16,9,25,4,8.642,14,30,4.56,5.79,0
"125",2,0,"List1",74,17,4,21,5,7.026,3,14,4.2,9.89,0
"126",6,1,"List1",30,11,8,19,6,7.26,1,5,4.55,11.83,0
"127",4,1,"List2",46,13,2,15,5,8.182,2,9,4,8.26,0
"128",1,1,"List2",25,12,8,20,4,9.216,10,21,3.79,11.06,1
"129",5,0,"List1",71,13,17,30,5,8.365,9,9,2.96,4.22,0
"130",4,0,"List2",34,12,4,16,4,8.381,13,27,3.33,7.89,0
"131",1,1,"List1",55,13,2,15,5,7.264,3,8,3.93,7.72,0
"132",2,1,"List2",104,12,22,34,5,8.492,0,2,2.93,8.11,0
"133",5,1,"List2",101,15,2,18,7,5.948,0,3,3.74,8.17,0
"134",6,0,"List2",18,11,98,109,5,9.179,5,4,3.7,4.22,0
"135",5,1,"List2",41,11,5,16,5,9.906,7,14,4.03,6.94,0
"136",6,0,"List1",18,11,3,14,6,8.028,2,7,4.32,7.39,0
"137",3,0,"List2",93,14,2,16,7,6.974,3,5,3.74,7.94,0
"138",4,0,"List1",112,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"139",2,0,"List2",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"140",1,1,"List2",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"141",6,1,"List1",60,10,2,12,3,8.59,14,20,3.52,11.58,1
"142",2,0,"List1",74,14,18,32,5,7.529,6,19,4.9,5.53,1
"143",4,1,"List2",94,7,11,18,4,7.191,14,31,4.68,6.8,1
"144",5,1,"List1",71,12,31,43,4,7.758,11,13,3.14,4.89,1
"145",6,1,"List2",108,14,3,17,4,8.345,12,17,2.89,5.74,0
"146",2,1,"List1",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"147",3,1,"List2",117,7,6,13,6,5.565,1,0,4.3,8.05,0
"148",1,1,"List2",49,11,98,109,5,9.179,5,4,3.7,4.22,1
"149",2,1,"List2",14,12,8,20,4,9.216,10,21,3.79,11.06,0
"150",4,0,"List2",28,7,3,10,4,8.824,11,27,4.67,7.68,0
"151",2,1,"List1",62,11,9,20,5,8.919,0,1,3.64,8.78,1
"152",5,1,"List1",47,11,13,24,4,8.719,5,11,3.27,6.83,1
"153",2,0,"List1",26,8,4,12,5,8.3,1,3,3.04,7.79,1
"154",4,0,"List2",58,4,3,7,5,6.862,3,4,4.57,7.95,0
"155",6,0,"List2",18,10,6,16,4,8.187,6,10,2.79,11.39,0
"156",6,1,"List1",72,5,2,7,3,8.128,15,21,4.88,6.94,1
"157",5,1,"List2",119,11,11,22,4,8.371,15,34,3.03,7.47,0
"158",5,1,"List1",59,14,5,19,3,7.955,14,26,4.62,5.795,0
"159",2,1,"List1",20,11,3,14,6,8.028,2,7,4.32,7.39,0
"160",4,1,"List1",28,8,2,10,5,7.277,3,8,4.38,9.28,1
"161",1,1,"List1",115,17,4,21,5,7.026,3,14,4.2,9.89,1
"162",4,1,"List1",52,17,11,28,3,8.307,6,8,4.37,5.79,1
"163",2,1,"List1",86,9,0,9,4,7.456,12,21,3.54,4.53,0
"164",6,0,"List1",6,11,2,13,5,10.017,5,9,2.38,7.17,1
"165",3,1,"List1",45,13,8,21,4,7.337,15,36,4.41,7.33,0
"166",1,0,"List1",49,11,1,12,5,6.763,3,3,4.78,7.58,0
"167",1,1,"List2",103,9,3,12,3,6.601,13,21,3.43,7.94,1
"168",3,1,"List2",45,11,3,14,4,6.45,3,9,2.27,9.28,0
"169",1,1,"List2",85,11,1,12,5,6.506,1,14,4.28,7,0
"170",3,1,"List2",39,9,2,11,4,8.535,12,8,3.85,10.1,0
"171",2,0,"List2",116,10,2,12,5,8.053,2,8,1.86,9,0
"172",5,0,"List2",35,11,17,28,4,7.65,3,4,2.85,8,0
"173",6,0,"List2",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"174",2,1,"List2",74,10,8,18,6,7.627,0,2,4.56,9,0
"175",3,1,"List1",57,3,6,9,3,6.486,13,13,3.63,6.21,1
"176",1,1,"List1",103,14,3,17,5,9.054,6,11,3.66,6.84,0
"177",4,1,"List1",64,9,10,19,4,8.259,8,7,4.7,7.39,1
"178",5,0,"List2",119,16,1,17,4,7.174,14,22,2.04,7.58,1
"179",2,0,"List1",74,18,14,32,3,9.062,18,23,4.29,7.05,0
"180",3,1,"List1",3,14,14,28,5,8.734,3,8,3.62,8.16,0
"181",5,0,"List2",77,12,4,16,4,6.642,7,11,4.36,6.11,0
"182",3,1,"List1",57,16,3,19,4,7.148,1,20,3.1,9.26,0
"183",5,0,"List2",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"184",3,1,"List1",57,20,2,22,5,8.338,5,11,2.63,8.95,1
"185",2,1,"List1",116,13,118,131,4,11.196,10,23,4.07,5.17,1
"186",6,1,"List2",54,18,12,30,5,7.993,2,16,3.97,6.11,0
"187",2,1,"List1",104,12,18,30,6,10.954,1,8,4.83,7.06,1
"188",5,0,"List1",119,13,118,131,4,11.196,10,23,4.07,5.17,0
"189",5,0,"List2",23,10,9,19,4,8.333,11,15,4.21,4.89,0
"190",1,1,"List1",61,13,8,21,4,7.337,15,36,4.41,7.33,0
"191",1,1,"List1",43,9,20,29,4,7.328,1,8,3.15,7.28,0
"192",5,0,"List2",113,11,3,14,4,6.45,3,9,2.27,9.28,0
"193",5,0,"List2",119,14,8,22,5,9.164,2,3,4.81,6.65,0
"194",5,0,"List2",23,12,10,22,5,9.604,2,16,3.83,6.21,0
"195",3,0,"List2",99,13,8,21,4,9.769,11,12,4.8,7.17,1
"196",4,0,"List2",100,12,0,12,4,8.51,8,14,3.17,3.05,1
"197",4,1,"List1",64,15,9,24,5,7.302,4,15,4.4,8.5,1
"198",3,1,"List2",45,12,6,18,5,7.363,3,10,4.72,11.05,1
"199",3,0,"List1",45,13,33,46,5,10.3,0,11,1.63,7.62,0
"200",6,0,"List1",36,17,11,28,4,8.097,12,27,4.85,6.44,0
"201",1,1,"List1",37,14,8,22,5,9.686,1,3,3.75,7.65,0
"202",1,1,"List2",109,13,4,17,3,9.216,3,14,4.64,7.52,0
"203",2,1,"List2",38,7,3,10,4,8.824,11,27,4.67,7.68,1
"204",3,1,"List1",33,11,12,23,4,8.438,10,27,4.57,6.05,1
"205",5,0,"List2",71,14,2,16,5,6.652,3,10,3.77,7.63,0
"206",4,0,"List1",82,17,4,21,5,7.026,3,14,4.2,9.89,1
"207",1,0,"List2",91,13,1,14,4,7.622,4,11,4.68,6.81,0
"208",1,1,"List2",85,12,4,16,6,7.851,1,5,2.46,8.37,0
"209",2,1,"List1",26,9,20,29,4,7.328,1,8,3.15,7.28,1
"210",5,1,"List1",113,17,11,28,4,8.097,12,27,4.85,6.44,1
"211",4,0,"List2",10,9,15,24,5,8.27,1,10,2.7,8.39,0
"212",1,1,"List2",55,7,3,10,4,8.824,11,27,4.67,7.68,1
"213",6,0,"List2",114,11,3,14,4,6.45,3,9,2.27,9.28,0
"214",2,0,"List2",116,14,30,44,3,9.767,18,35,1.85,6.74,1
"215",4,1,"List1",100,16,3,19,4,7.148,1,20,3.1,9.26,1
"216",5,0,"List1",83,8,30,38,3,11.851,5,7,4.37,5.37,1
"217",4,1,"List2",112,10,10,20,4,8.825,12,16,3.4,10.24,0
"218",5,0,"List2",5,9,15,24,5,8.27,1,10,2.7,8.39,0
"219",3,1,"List1",45,12,3,15,5,7.428,4,3,3.24,8.74,0
"220",4,1,"List1",106,8,5,13,5,9.806,2,4,4,8.53,0
"221",5,1,"List2",89,14,3,17,4,8.345,12,17,2.89,5.74,1
"222",1,1,"List2",115,7,4,11,4,9.544,9,12,3.85,7.53,1
"223",2,0,"List2",68,13,4,17,3,9.216,3,14,4.64,7.52,0
"224",6,0,"List2",36,12,4,16,4,6.642,7,11,4.36,6.11,1
"225",5,0,"List2",95,12,34,46,5,8.722,4,20,2.23,5.11,0
"226",1,1,"List1",79,8,5,13,5,9.806,2,4,4,8.53,0
"227",6,1,"List2",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"228",3,1,"List1",81,16,11,27,4,9.609,10,17,4.86,6.37,0
"229",3,0,"List1",75,15,9,24,5,7.302,4,15,4.4,8.5,0
"230",6,0,"List2",78,15,2,18,7,5.948,0,3,3.74,8.17,0
"231",2,1,"List1",92,11,4,15,4,6.727,4,15,4.61,8.44,1
"232",2,1,"List1",50,10,3,13,4,6.933,1,9,1.86,9.28,0
"233",1,1,"List2",61,14,2,16,7,6.974,3,5,3.74,7.94,0
"234",2,0,"List2",44,14,3,17,4,8.345,12,17,2.89,5.74,0
"235",4,1,"List2",58,22,11,33,5,8.571,1,15,4.72,6.42,0
"236",4,0,"List2",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"237",4,0,"List1",58,8,2,10,5,6.389,7,4,5,7.84,0
"238",6,0,"List1",18,18,14,32,3,9.062,18,23,4.29,7.05,0
"239",5,0,"List2",53,13,98,111,4,8.969,15,21,1.97,5.83,0
"240",1,0,"List1",115,16,11,27,4,9.609,10,17,4.86,6.37,0
"241",5,0,"List1",11,8,11,19,4,9.745,14,21,4.31,8.63,0
"242",1,1,"List1",85,17,57,74,3,10.491,9,15,2.93,5,0
"243",1,1,"List2",61,10,8,18,6,7.627,0,2,4.56,9,0
"244",6,1,"List2",30,15,4,19,4,7.567,6,11,4.4,6,0
"245",6,0,"List1",24,6,2,9,4,6.232,16,31,3.37,8.95,0
"246",3,1,"List1",27,13,33,46,5,10.3,0,11,1.63,7.62,0
"247",5,1,"List1",119,11,22,33,4,9.96,9,1,1.87,7.95,0
"248",5,0,"List1",29,9,37,46,5,10.106,8,13,5,4.42,0
"249",5,0,"List2",83,7,11,18,4,7.191,14,31,4.68,6.8,0
"250",3,1,"List1",93,9,12,21,5,10.356,1,6,4.3,7.67,1
"251",5,0,"List1",35,13,33,46,5,10.3,0,11,1.63,7.62,0
"252",6,0,"List1",66,11,14,26,4,10.8,9,1,1.87,8.39,0
"253",2,1,"List2",98,11,2,13,5,8.276,2,4,2.68,5.33,1
"254",1,1,"List2",97,11,17,28,4,7.65,3,4,2.85,8,0
"255",3,0,"List2",87,14,34,48,5,9.76,5,15,2.5,5.47,0
"256",5,1,"List2",107,8,3,11,4,7.92,8,33,4.14,9.12,0
"257",2,0,"List2",86,12,1,13,5,7.65,2,10,4.41,9.42,1
"258",6,0,"List1",24,12,36,48,6,10.314,5,15,3.9,7.47,0
"259",2,0,"List1",104,8,2,10,5,7.277,3,8,4.38,9.28,0
"260",5,1,"List1",113,16,20,36,5,9.474,3,17,4.93,5.05,1
"261",4,0,"List2",58,4,3,7,5,6.862,3,4,4.57,7.95,0
"262",6,1,"List2",78,19,3,22,6,8.515,2,6,3.73,8.076,1
"263",1,1,"List2",115,14,34,48,5,9.76,5,15,2.5,5.47,0
"264",2,1,"List2",20,14,3,17,4,8.345,12,17,2.89,5.74,0
"265",5,0,"List2",119,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"266",6,0,"List2",54,7,2,9,4,6.346,16,31,3.37,8.95,1
"267",6,0,"List1",48,13,17,30,5,8.365,9,9,2.96,4.22,0
"268",5,1,"List2",89,12,6,18,5,7.363,3,10,4.72,11.05,1
"269",3,1,"List2",27,8,22,30,5,7.795,3,14,3.97,5.94,1
"270",2,1,"List2",80,9,3,12,3,6.601,13,21,3.43,7.94,0
"271",3,0,"List1",87,8,30,38,3,11.851,5,7,4.37,5.37,0
"272",4,0,"List1",94,12,43,55,5,8.321,1,8,4.89,6.53,0
"273",5,1,"List2",5,11,5,16,4,6.387,8,11,4.48,9.95,1
"274",2,1,"List2",2,12,4,16,4,6.642,7,11,4.36,6.11,0
"275",2,1,"List2",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"276",4,1,"List2",16,14,8,22,5,9.164,2,3,4.81,6.65,1
"277",3,0,"List1",33,13,15,28,5,7.897,2,11,4.07,8.67,0
"278",2,1,"List2",14,13,8,21,4,9.769,11,12,4.8,7.17,1
"279",4,0,"List1",94,12,3,15,5,7.428,4,3,3.24,8.74,1
"280",2,0,"List1",74,13,2,15,5,7.264,3,8,3.93,7.72,0
"281",1,1,"List1",13,15,2,17,7,5.948,0,3,3.77,8.17,0
"282",5,1,"List2",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"283",1,1,"List2",25,11,32,43,4,7.633,6,12,4.86,8.06,1
"284",3,1,"List1",87,9,10,19,4,8.259,8,7,4.7,7.39,0
"285",2,0,"List1",50,14,14,28,5,8.734,3,8,3.62,8.16,1
"286",6,0,"List1",108,7,32,38,4,9.038,10,33,4.81,5.26,0
"287",6,0,"List2",72,7,6,13,6,5.565,1,0,4.3,8.05,0
"288",3,1,"List1",3,18,4,22,5,7.51,3,6,3.66,8.84,0
"289",5,0,"List2",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"290",4,1,"List2",4,13,2,15,5,8.182,2,9,4,8.26,1
"291",6,0,"List1",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"292",4,0,"List2",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"293",4,0,"List1",64,12,43,55,5,8.321,1,8,4.89,6.53,1
"294",2,1,"List2",68,13,4,17,3,9.216,3,14,4.64,7.52,0
"295",6,0,"List1",66,16,16,32,4,8.931,9,17,4.88,5.5,0
"296",6,0,"List2",54,16,2,18,5,7.01,3,3,3.56,8.79,0
"297",3,1,"List1",75,13,11,24,3,8.813,16,20,3.92,8.22,0
"298",6,0,"List1",6,11,4,15,4,8.079,5,24,3.83,5.55,1
"299",2,1,"List2",8,17,96,113,3,10.764,13,24,4.83,5.58,0
"300",6,1,"List2",54,18,12,30,5,7.993,2,16,3.97,6.11,0
"301",1,1,"List1",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"302",4,0,"List2",4,12,34,46,5,8.722,4,20,2.23,5.11,0
"303",4,1,"List1",64,17,6,23,4,8.582,9,13,2.48,8.05,0
"304",3,1,"List2",87,12,9,21,5,7.396,1,26,3.29,5.47,1
"305",5,0,"List2",89,20,28,48,5,10.055,9,8,3.38,5.83,0
"306",1,1,"List2",31,12,5,17,5,7.62,2,11,4.93,6.11,0
"307",6,0,"List2",84,12,4,16,6,7.851,1,5,2.46,8.37,0
"308",5,0,"List1",83,14,46,60,3,8.322,9,32,2.52,5.32,1
"309",1,1,"List2",61,10,3,13,4,8.331,8,12,3.46,11.05,1
"310",3,1,"List2",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"311",3,1,"List2",51,10,11,21,4,9.05,11,1,2.41,9.58,0
"312",1,1,"List2",19,7,9,16,4,7.191,14,36,4.41,6.8,0
"313",5,0,"List1",41,12,3,15,5,7.428,4,3,3.24,8.74,0
"314",1,1,"List2",67,12,10,22,5,9.604,2,16,3.83,6.21,0
"315",2,0,"List2",80,7,3,10,5,8.293,0,5,3.64,8.15,0
"316",6,0,"List2",60,20,28,48,5,10.055,9,8,3.38,5.83,0
"317",2,1,"List1",20,12,36,48,6,10.314,5,15,3.9,7.47,0
"318",5,1,"List1",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"319",3,1,"List2",39,14,8,22,5,9.164,2,3,4.81,6.65,0
"320",6,1,"List1",6,20,11,31,3,7.774,17,33,3.96,7.57,0
"321",3,1,"List1",81,14,20,34,4,10.721,14,34,3.82,5.26,1
"322",6,0,"List1",24,11,25,36,5,9.821,4,10,4.87,7.68,0
"323",5,1,"List2",101,12,6,18,5,7.363,3,10,4.72,11.05,0
"324",5,0,"List2",53,14,8,22,4,7.705,13,31,4.84,5.83,0
"325",5,0,"List2",113,9,10,19,4,8.091,10,19,4.51,6.95,0
"326",6,1,"List2",12,10,7,17,4,7.35,6,5,4.43,6.95,0
"327",6,1,"List2",36,1,10,11,4,8.301,9,12,3.38,8.11,0
"328",6,1,"List1",108,11,58,69,5,9.72,4,6,4.96,4,0
"329",1,1,"List2",109,7,9,16,5,6.061,3,8,2.55,9.64,0
"330",3,0,"List1",93,8,4,12,5,8.3,1,3,3.04,7.79,0
"331",6,0,"List2",120,11,15,26,3,9.523,10,22,2.89,7.1,1
"332",5,0,"List1",113,15,3,18,5,8.108,1,4,3.07,8.89,1
"333",5,0,"List1",17,14,18,32,5,7.529,6,19,4.9,5.53,0
"334",4,1,"List2",4,13,5,18,3,7.291,13,27,4.68,6.8,0
"335",3,1,"List2",45,12,4,16,4,6.642,7,11,4.36,6.11,0
"336",4,1,"List1",52,10,5,15,6,8.645,2,14,3.96,4.89,0
"337",4,1,"List2",94,12,17,29,3,8.83,14,27,4.21,6.17,0
"338",3,1,"List1",9,11,8,19,4,8.977,12,34,3.31,11.58,0
"339",4,0,"List2",52,12,1,13,5,6.582,5,9,3.19,6.11,0
"340",3,1,"List1",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"341",5,1,"List2",47,7,2,9,4,6.346,16,31,3.37,8.95,0
"342",2,1,"List1",86,13,11,24,3,8.813,16,20,3.92,8.22,0
"343",3,0,"List2",93,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"344",6,1,"List1",114,13,15,28,5,7.897,2,11,4.07,8.67,1
"345",6,0,"List2",96,12,5,17,6,7.62,3,5,2.46,8.37,0
"346",5,0,"List1",119,11,5,15,4,8.966,4,7,4.14,8.53,1
"347",1,1,"List2",7,10,9,19,4,8.438,11,15,4.13,4.89,0
"348",3,0,"List2",3,8,3,11,4,8.22,13,17,4.9,8.31,1
"349",2,1,"List2",68,13,4,17,3,9.216,3,14,4.64,7.52,1
"350",6,1,"List1",120,5,3,8,4,7.682,3,29,4.63,8.53,0
"351",4,0,"List1",34,18,12,30,4,10.294,16,36,2.25,5.55,0
"352",5,0,"List1",53,12,9,21,5,9.33,3,8,4.59,8.3,0
"353",4,0,"List2",88,10,8,18,6,7.627,0,2,4.56,9,1
