parcelid,logerror,transactiondate
11523731,-0.0294,2016-01-04
11427633,0.0296,2016-01-04
14042212,0.0667,2016-01-04
13980837,-0.0253,2016-01-04
12533657,0.0276,2016-01-04
14130954,0.0286,2016-01-04
14502204,0.0159,2016-01-04
12516077,0.0286,2016-01-04
17158640,0.1142,2016-01-04
14733074,0.0334,2016-01-04
13077042,0.0402,2016-01-04
11702617,-0.0243,2016-01-04
14229471,0.045,2016-01-04
12780042,0.0344,2016-01-04
12193158,-0.0336,2016-01-04
11948830,-0.1427,2016-01-04
14421073,-0.2459,2016-01-04
11986763,-0.078,2016-01-04
17192496,-0.006,2016-01-04
14715925,-0.1244,2016-01-04
17088153,-0.044,2016-01-04
14616359,-0.078,2016-01-04
10801388,0.0149,2016-01-04
14322594,0.063,2016-01-04
14324521,-0.1997,2016-01-04
17118736,-0.4095,2016-01-04
10848180,-0.0419,2016-01-04
12755278,0.0526,2016-01-04
11057902,-0.0222,2016-01-04
11641841,-0.1473,2016-01-04
14227578,0.0178,2016-01-04
14140396,-0.091,2016-01-04
14412754,0.008,2016-01-04
14692960,-0.1744,2016-01-04
10752781,-0.001,2016-01-04
14443228,0.0488,2016-01-04
14421427,0.0573,2016-01-04
11056378,0.003,2016-01-04
12863513,0.145,2016-01-04
11269343,0.1398,2016-01-04
12515416,-0.0598,2016-01-04
10748903,-0.009,2016-01-04
12597787,0.0208,2016-01-04
11056109,-0.006,2016-01-04
12338963,0.3358,2016-01-04
12887934,0.005,2016-01-04
12498811,-0.1358,2016-01-04
12221552,-0.6368,2016-01-04
12136379,-0.006,2016-01-04
17188935,-0.002,2016-01-04
14084996,0.0554,2016-01-04
10999114,-0.1087,2016-01-04
14244947,0.0149,2016-01-04
12261255,-0.0233,2016-01-04
11002227,0.0421,2016-01-04
12727119,-0.4277,2016-01-04
11603214,-0.001,2016-01-04
13880945,-0.0202,2016-01-04
12505717,0.0535,2016-01-04
17055019,0.0421,2016-01-04
13877133,0.098,2016-01-04
11297146,-0.0769,2016-01-04
12268525,0.005,2016-01-04
11448170,0.098,2016-01-04
13935681,-0.0932,2016-01-04
10883409,0.0944,2016-01-04
13872819,0.0,2016-01-04
13896016,0.0962,2016-01-04
11916304,0.0188,2016-01-04
12229878,-0.1154,2016-01-04
14365040,0.0178,2016-01-04
11251631,-0.078,2016-01-04
13918657,0.0392,2016-01-04
14710649,0.004,2016-01-04
14366651,-0.1054,2016-01-04
11767927,-0.0899,2016-01-04
10981110,0.01,2016-01-04
13896100,0.179,2016-01-04
10981417,-0.006,2016-01-04
14483291,0.0344,2016-01-04
10900015,0.0639,2016-01-04
11908800,0.3825,2016-01-04
11422524,0.1187,2016-01-04
12723859,0.1089,2016-01-04
13902249,-0.0141,2016-01-04
12872748,0.0421,2016-01-04
11664308,0.1089,2016-01-04
13914106,0.0119,2016-01-04
14636858,-0.0315,2016-01-04
12270299,-0.137,2016-01-04
12901047,0.0354,2016-01-04
10865683,-0.0492,2016-01-04
12616210,0.1765,2016-01-04
10960001,0.0383,2016-01-04
12002086,-0.0182,2016-01-04
12300590,-0.0243,2016-01-04
14674230,0.0917,2016-01-04
14597760,-0.0243,2016-01-04
14498398,0.0276,2016-01-04
14615747,0.0373,2016-01-04
10864723,-0.044,2016-01-04
11037394,0.0198,2016-01-04
11846598,-0.145,2016-01-04
10958511,-0.0629,2016-01-04
13954029,-0.0429,2016-01-04
14339531,0.0334,2016-01-04
13100508,0.0325,2016-01-04
11548125,-0.3439,2016-01-04
10907593,-0.0263,2016-01-04
12095743,0.0188,2016-01-04
13872388,0.0149,2016-01-04
10741537,0.0296,2016-01-04
13851543,0.0109,2016-01-04
11567831,-0.003,2016-01-04
17267250,0.0119,2016-01-04
11768520,-0.0661,2016-01-04
14270950,0.1169,2016-01-04
13938654,0.0779,2016-01-04
14419151,0.0751,2016-01-04
14051738,0.008,2016-01-04
14104070,0.0315,2016-01-04
11309502,-0.0121,2016-01-04
10904630,-0.006,2016-01-04
13858454,0.004,2016-01-04
14713723,0.0402,2016-01-04
11166503,-0.002,2016-01-04
11648653,0.0667,2016-01-04
11022729,0.0315,2016-01-04
14108170,0.0363,2016-01-04
11143894,0.0188,2016-01-04
14110831,0.0344,2016-01-04
13859323,0.0998,2016-01-04
17289794,0.0469,2016-01-04
13971777,0.0788,2016-01-04
17292862,0.007,2016-01-04
10815023,0.4941,2016-01-04
13013515,-0.0736,2016-01-04
12029244,-0.003,2016-01-04
11115579,0.0149,2016-01-04
11115487,0.0507,2016-01-04
11975142,-0.0263,2016-01-04
12893149,-0.0408,2016-01-04
13994443,-0.0715,2016-01-04
17238099,-0.0161,2016-01-04
12429744,0.003,2016-01-04
11623495,-0.2144,2016-01-04
12430575,0.0,2016-01-04
12031070,0.0807,2016-01-04
12945898,0.1124,2016-01-04
10833093,0.0889,2016-01-04
12044422,-0.0346,2016-01-04
12422738,0.0149,2016-01-04
12676375,-0.0356,2016-01-04
12414769,-0.0587,2016-01-04
13022682,-0.0545,2016-01-04
10936299,-0.0253,2016-01-04
10836431,0.1106,2016-01-04
12418093,-0.0608,2016-01-04
11121870,0.1026,2016-01-04
11801228,0.005,2016-01-04
12807257,0.1266,2016-01-04
10915275,-0.0325,2016-01-04
14207225,0.0421,2016-01-04
10803962,-0.0274,2016-01-04
14426804,0.0797,2016-01-04
12523304,0.0315,2016-01-04
11745005,0.0526,2016-01-04
14601697,-0.0111,2016-01-04
12818304,-0.0111,2016-01-04
11973896,-0.0111,2016-01-04
12686516,0.0296,2016-01-04
14020348,-0.007,2016-01-04
17195014,-0.006,2016-01-04
12892344,-0.0253,2016-01-04
11492012,-0.003,2016-01-04
17240931,0.0344,2016-01-04
14749589,-0.0141,2016-01-04
11105509,0.003,2016-01-04
12446142,0.007,2016-01-04
12446547,-0.1936,2016-01-04
12977321,-0.044,2016-01-04
11970677,0.0469,2016-01-04
12034787,-0.1312,2016-01-04
11488257,0.0218,2016-01-04
11887665,0.1053,2016-01-04
14684078,0.006,2016-01-04
17196448,0.0705,2016-01-04
11713735,-0.0284,2016-01-04
14604634,0.0129,2016-01-04
12431924,0.0658,2016-01-04
14428379,-0.0576,2016-01-04
12832944,-0.008,2016-01-04
11158358,-0.0171,2016-01-04
14603678,-0.003,2016-01-04
14003170,0.0149,2016-01-04
12452910,-0.1065,2016-01-04
14217233,-0.0151,2016-01-04
14664394,-0.003,2016-01-04
11158382,0.0797,2016-01-04
11628112,0.1053,2016-01-04
12689469,-0.408,2016-01-04
11624673,0.003,2016-01-04
12823622,0.0421,2016-01-04
10826295,-0.0346,2016-01-04
12804224,0.4929,2016-01-04
12884867,-0.006,2016-01-04
11397664,0.0853,2016-01-04
14624570,-0.0367,2016-01-04
12026299,0.0159,2016-01-04
12407264,0.0363,2016-01-04
12683534,-0.0704,2016-01-04
12406804,-0.1985,2016-01-04
11195818,-0.0534,2016-01-04
14167564,0.0363,2016-01-04
10774688,0.0363,2016-01-04
13032519,-0.0367,2016-01-04
10756691,1.083,2016-01-04
14166471,-0.0346,2016-01-04
14166394,-0.1613,2016-01-04
11086459,0.1222,2016-01-04
14680925,0.006,2016-01-04
14314886,0.0334,2016-01-04
13983678,0.0611,2016-01-04
11337402,0.0218,2016-01-04
11198617,-0.0398,2016-01-04
14162041,0.0159,2016-01-04
12956411,-0.4277,2016-01-04
12166017,-0.002,2016-01-04
12956786,-0.0598,2016-01-04
12393013,-0.001,2016-01-04
14160852,0.0139,2016-01-04
12062343,-0.0769,2016-01-04
14667864,-0.007,2016-01-04
12801486,0.0592,2016-01-04
12168378,-0.1143,2016-01-04
14171755,-0.0101,2016-01-04
17197472,-0.2971,2016-01-04
14678945,0.0363,2016-01-04
12410022,0.2624,2016-01-04
12462074,0.01,2016-01-04
14600494,0.001,2016-01-04
14664914,0.0276,2016-01-04
12966592,-0.046,2016-01-05
14199177,-0.006,2016-01-05
14615180,-0.0387,2016-01-05
12109114,0.0129,2016-01-05
12021224,0.004,2016-01-05
17297827,0.002,2016-01-05
14455091,0.0286,2016-01-05
12544321,0.004,2016-01-05
11012271,0.007,2016-01-05
12958294,-0.0598,2016-01-05
17218326,-0.004,2016-01-05
10980675,0.1151,2016-01-05
14614625,-0.0263,2016-01-05
14215092,0.01,2016-01-05
12737237,0.0129,2016-01-05
12737136,0.0296,2016-01-05
14096632,-0.009,2016-01-05
12109478,-0.0111,2016-01-05
12021540,0.0149,2016-01-05
14625084,0.0149,2016-01-05
12276174,0.0,2016-01-05
17226746,-0.0243,2016-01-05
14745928,0.0305,2016-01-05
11928703,-0.045,2016-01-05
14066388,-0.0471,2016-01-05
12507667,-0.0387,2016-01-05
11580655,0.0363,2016-01-05
11232862,-0.0253,2016-01-05
10872805,-0.003,2016-01-05
11110786,-0.007,2016-01-05
10729725,-0.0253,2016-01-05
12011448,0.0373,2016-01-05
11563853,0.0421,2016-01-05
14707107,0.0169,2016-01-05
11000658,-0.0325,2016-01-05
13887161,0.0276,2016-01-05
12845729,-0.002,2016-01-05
14081436,-0.0212,2016-01-05
12106051,0.0354,2016-01-05
10874827,0.1371,2016-01-05
12845555,0.0344,2016-01-05
12869822,0.0119,2016-01-05
12718673,-0.0131,2016-01-05
10774008,0.045,2016-01-05
11569103,0.0564,2016-01-05
13876358,-0.0856,2016-01-05
13876785,-0.1485,2016-01-05
11661193,-0.2033,2016-01-05
12113474,-0.0866,2016-01-05
12842652,-0.0263,2016-01-05
12455288,-0.007,2016-01-05
14073978,-0.007,2016-01-05
14202062,0.045,2016-01-05
17226441,0.0169,2016-01-05
14091051,0.0237,2016-01-05
13891350,0.0507,2016-01-05
11120416,0.0325,2016-01-05
12643095,-0.0192,2016-01-05
12238089,-0.0315,2016-01-05
12473123,0.0296,2016-01-05
12964997,-0.0534,2016-01-05
12644113,0.0497,2016-01-05
10893738,0.0109,2016-01-05
12004630,-0.2549,2016-01-05
12454667,0.0296,2016-01-05
12469692,-0.0346,2016-01-05
11394220,-0.007,2016-01-05
14679228,-0.064,2016-01-05
14069135,0.0159,2016-01-05
11750137,-0.046,2016-01-05
17272543,-0.0121,2016-01-05
14621037,-0.0367,2016-01-05
13885158,0.0459,2016-01-05
11594138,0.0411,2016-01-05
14708442,0.1133,2016-01-05
11741237,-0.0387,2016-01-05
10996306,0.0325,2016-01-05
10737032,0.1204,2016-01-05
11246505,0.063,2016-01-05
11007574,-0.0377,2016-01-05
13891855,0.0383,2016-01-05
10807148,0.0862,2016-01-05
14641035,0.005,2016-01-05
17226800,-0.006,2016-01-05
11240447,0.0788,2016-01-05
10895566,0.0227,2016-01-05
17202259,0.1133,2016-01-05
10880407,-0.0545,2016-01-05
11659351,-0.005,2016-01-05
12390731,0.0286,2016-01-05
12982143,0.0392,2016-01-05
17252569,-0.0545,2016-01-05
14530800,-0.0429,2016-01-05
12862271,-0.0619,2016-01-05
11532589,-0.0111,2016-01-05
12780574,0.0797,2016-01-05
14066006,0.0421,2016-01-05
13026301,0.062,2016-01-05
11702757,0.0751,2016-01-05
11060416,-0.0202,2016-01-05
12594965,0.0178,2016-01-05
14507300,0.004,2016-01-05
12076748,-0.0492,2016-01-05
12567149,0.0129,2016-01-05
11088889,0.0469,2016-01-05
11947002,-0.0899,2016-01-05
14310517,0.077,2016-01-05
13068303,-0.0346,2016-01-05
14434812,0.002,2016-01-05
11207559,0.0962,2016-01-05
12483427,0.0296,2016-01-05
11537781,0.0383,2016-01-05
11945491,0.01,2016-01-05
11945452,0.1204,2016-01-05
11840865,-0.0346,2016-01-05
11696137,-0.0651,2016-01-05
12333068,-0.0233,2016-01-05
11210592,0.0554,2016-01-05
12766483,0.044,2016-01-05
11191603,0.1106,2016-01-05
17232555,0.0208,2016-01-05
17105834,-0.0121,2016-01-05
14736046,0.0363,2016-01-05
13061710,0.063,2016-01-05
14160402,0.0373,2016-01-05
14161317,0.0507,2016-01-05
14159542,0.0286,2016-01-05
11712463,-0.007,2016-01-05
11074225,0.0266,2016-01-05
12061339,0.009,2016-01-05
12061151,0.0266,2016-01-05
11170382,0.0159,2016-01-05
12384587,0.0188,2016-01-05
12860573,0.0119,2016-01-05
12576624,-0.0502,2016-01-05
10756010,-0.0566,2016-01-05
11711123,0.0953,2016-01-05
12583261,-0.0758,2016-01-05
11327631,-0.1188,2016-01-05
11709883,-0.001,2016-01-05
14742582,0.0497,2016-01-05
17171828,0.1302,2016-01-05
11830066,-0.0726,2016-01-05
11463161,-0.0253,2016-01-05
12366236,-0.3425,2016-01-05
11082807,-0.0253,2016-01-05
11757507,-0.0608,2016-01-05
11719164,0.0344,2016-01-05
11960355,-0.0243,2016-01-05
17209989,0.01,2016-01-05
14313550,0.1222,2016-01-05
10839804,0.3968,2016-01-05
12569823,-0.0171,2016-01-05
10839224,0.3141,2016-01-05
12447938,-0.0346,2016-01-05
13018435,0.116,2016-01-05
11094371,0.2508,2016-01-05
11548973,-0.003,2016-01-05
14685821,0.0247,2016-01-05
14448665,0.0507,2016-01-05
14118520,0.0159,2016-01-05
12095630,0.0363,2016-01-05
12614428,0.0247,2016-01-05
10864293,0.0488,2016-01-05
11186988,0.0459,2016-01-05
14297635,0.0218,2016-01-05
14604326,0.0383,2016-01-05
13840974,-0.006,2016-01-05
11031921,-0.0356,2016-01-05
14496938,0.1275,2016-01-05
12097784,-0.0987,2016-01-05
14343698,0.0178,2016-01-05
12867969,-0.004,2016-01-05
14111931,0.0227,2016-01-05
12100614,-0.0233,2016-01-05
12985635,0.7453,2016-01-05
11229204,-0.3552,2016-01-05
13850164,-0.1567,2016-01-05
13850164,-0.046,2016-06-29
13856560,-0.1462,2016-01-05
11678644,-0.1972,2016-01-05
14728726,0.0296,2016-01-05
12011640,0.001,2016-01-05
10870371,0.0989,2016-01-05
12287390,0.0363,2016-01-05
14104385,0.124,2016-01-05
12828541,0.1756,2016-01-05
14686077,0.0149,2016-01-05
14687603,0.0286,2016-01-05
13004684,0.0478,2016-01-05
11495925,-0.008,2016-01-05
11047246,-0.0212,2016-01-05
13015746,0.0953,2016-01-05
14663714,-0.002,2016-01-05
12920545,0.003,2016-01-05
14602457,0.0677,2016-01-05
12939969,-0.0315,2016-01-05
12759574,0.0129,2016-01-05
14446998,-0.0243,2016-01-05
14219543,0.0411,2016-01-05
13088597,0.0119,2016-01-05
11499071,0.0871,2016-01-05
12758851,0.25,2016-01-05
12325153,0.0751,2016-01-05
12324895,0.0208,2016-01-05
17243641,0.0344,2016-01-05
11941213,-0.1684,2016-01-05
12609176,0.0218,2016-01-05
11317322,0.0421,2016-01-05
10860946,0.0169,2016-01-05
12045389,0.0714,2016-01-05
14181542,0.0392,2016-01-05
11546051,0.1714,2016-01-05
10805689,0.0507,2016-01-05
12320257,-0.002,2016-01-05
11041746,0.0898,2016-01-05
17260292,-0.009,2016-01-05
14338816,-0.0325,2016-01-05
12915862,-0.0161,2016-01-05
10805692,0.0178,2016-01-05
12819525,0.062,2016-01-05
11687100,-0.1602,2016-01-05
12957131,-0.2485,2016-01-05
12137364,-0.0481,2016-01-05
11885914,0.0602,2016-01-05
12710764,0.1062,2016-01-05
11908948,0.003,2016-01-05
12001726,0.088,2016-01-05
12212533,0.3478,2016-01-05
11903377,0.0325,2016-01-05
12675095,-0.1165,2016-01-05
11656905,0.0129,2016-01-05
13947548,0.0564,2016-01-05
11634189,0.0139,2016-01-05
12219524,-0.0408,2016-01-05
11890296,-0.0253,2016-01-05
17116334,-0.0367,2016-01-05
12684286,-0.0111,2016-01-05
13975959,0.009,2016-01-05
14382837,0.006,2016-01-05
12191628,0.0797,2016-01-05
10728399,0.0257,2016-01-05
11618065,0.0564,2016-01-05
13968748,0.1604,2016-01-05
14056841,0.0344,2016-01-05
12687179,0.0286,2016-01-05
11267334,-0.0943,2016-01-05
14006983,0.0109,2016-01-05
14264899,0.0431,2016-01-05
10954606,0.0247,2016-01-05
14030664,0.2776,2016-01-05
14716372,0.005,2016-01-05
10902690,0.0129,2016-01-05
12687504,0.0227,2016-01-05
14717556,0.005,2016-01-05
17055852,-0.0131,2016-01-05
10933323,-0.1054,2016-01-05
11898674,0.0507,2016-01-05
11886906,0.1196,2016-01-05
12684085,0.1415,2016-01-05
14616139,-0.0233,2016-01-05
11994703,0.009,2016-01-05
14417404,-0.0336,2016-01-05
11779346,0.0373,2016-01-05
12227848,0.1748,2016-01-05
17285630,0.0402,2016-01-05
13945053,-0.1393,2016-01-05
12185514,-0.0233,2016-01-05
11644320,-0.0131,2016-01-05
10968472,-0.0182,2016-01-05
11626960,0.0554,2016-01-05
14000144,0.0257,2016-01-05
14458350,0.007,2016-01-05
12222991,-0.2169,2016-01-05
14744376,0.0431,2016-01-05
14390486,0.0129,2016-01-05
12692473,0.044,2016-01-05
11606616,-0.0294,2016-01-05
12666369,0.0169,2016-01-05
11616509,-0.004,2016-01-05
12206553,-0.0141,2016-01-05
11620624,0.0383,2016-01-05
10792574,-0.2497,2016-01-05
10905399,-0.1661,2016-01-05
17112436,0.001,2016-01-05
11600569,0.198,2016-01-05
10936510,0.0816,2016-01-05
11259733,0.0478,2016-01-05
14016074,0.0149,2016-01-05
17191384,0.0276,2016-01-05
14613040,0.0188,2016-01-06
14696697,0.008,2016-01-06
12695528,0.0266,2016-01-06
11212802,0.0507,2016-01-06
11046542,0.0469,2016-01-06
14270051,0.0526,2016-01-06
10833932,0.0119,2016-01-06
10726368,-0.003,2016-01-06
11941611,-0.1948,2016-01-06
14369364,0.0109,2016-01-06
10933058,-0.0726,2016-01-06
14297659,-0.0202,2016-01-06
12608384,0.0227,2016-01-06
13872929,-0.1358,2016-01-06
14238710,-0.003,2016-01-06
12710013,0.1647,2016-01-06
11172525,-0.0202,2016-01-06
11651686,0.2799,2016-01-06
11399588,0.0334,2016-01-06
12273348,0.1284,2016-01-06
12577041,0.0266,2016-01-06
17269974,0.0315,2016-01-06
14216846,0.0305,2016-01-06
12871361,0.0431,2016-01-06
12988908,0.0889,2016-01-06
12190264,0.002,2016-01-06
12085145,-0.0377,2016-01-06
14231798,-0.005,2016-01-06
12265617,0.01,2016-01-06
12084809,0.1647,2016-01-06
12899850,0.077,2016-01-06
14316448,-0.0576,2016-01-06
11455214,0.01,2016-01-06
12201980,-0.1543,2016-01-06
11572798,0.157,2016-01-06
11304161,-0.0325,2016-01-06
12054651,0.0554,2016-01-06
17080594,0.044,2016-01-06
11109235,0.1044,2016-01-06
14635473,0.076,2016-01-06
17149648,-0.008,2016-01-06
14192576,-0.0111,2016-01-06
14490801,0.0218,2016-01-06
14669425,0.1062,2016-01-06
12562286,0.2038,2016-01-06
12093481,0.0276,2016-01-06
14335184,0.0,2016-01-06
17197897,0.0109,2016-01-06
12203672,-0.0576,2016-01-06
14296555,-0.3202,2016-01-06
12557553,0.1007,2016-01-06
14729085,0.0188,2016-01-06
12216283,0.0411,2016-01-06
11669507,-0.0419,2016-01-06
12207600,-0.1301,2016-01-06
11194389,0.0119,2016-01-06
11726202,-0.007,2016-01-06
12019094,0.0334,2016-01-06
13998755,0.0742,2016-01-06
12062283,0.0834,2016-01-06
12529831,0.0119,2016-01-06
11733280,-0.0161,2016-01-06
10965125,-0.0769,2016-01-06
12060270,0.0354,2016-01-06
11215822,0.0853,2016-01-06
12431033,-0.0274,2016-01-06
12911343,0.044,2016-01-06
17243434,0.0344,2016-01-06
12428562,0.0149,2016-01-06
11561423,0.0843,2016-01-06
14271240,0.0198,2016-01-06
11307414,-0.007,2016-01-06
11995225,0.0686,2016-01-06
11018310,0.005,2016-01-06
11173100,-0.2971,2016-01-06
17212494,0.0139,2016-01-06
14043156,-0.0243,2016-01-06
11466276,0.0344,2016-01-06
11188742,0.0658,2016-01-06
12858481,-0.2095,2016-01-06
12743839,0.0305,2016-01-06
11453603,0.1947,2016-01-06
12525823,0.0296,2016-01-06
17280214,0.0129,2016-01-06
12753214,0.0198,2016-01-06
12876918,0.0,2016-01-06
12101401,-0.0171,2016-01-06
10869690,0.045,2016-01-06
14382755,-0.007,2016-01-06
11498745,-0.2863,2016-01-06
14346375,-0.0284,2016-01-06
12935277,0.1613,2016-01-06
10939671,0.1781,2016-01-06
11172847,0.1071,2016-01-06
10757067,0.0344,2016-01-06
11497751,-0.0294,2016-01-06
10869903,0.0723,2016-01-06
13096901,0.0159,2016-01-06
14754630,0.002,2016-01-06
14671984,0.0257,2016-01-06
11609388,0.0119,2016-01-06
12511759,0.004,2016-01-06
17112764,0.0478,2016-01-06
14167502,0.005,2016-01-06
11752546,0.0315,2016-01-06
12283914,0.0208,2016-01-06
12998599,0.0227,2016-01-06
13012838,0.0421,2016-01-06
11296456,-0.005,2016-01-06
12100991,0.0169,2016-01-06
11611867,-0.079,2016-01-06
13093014,0.0227,2016-01-06
10764818,0.01,2016-01-06
14501045,0.0266,2016-01-06
13983419,0.5295,2016-01-06
12100973,-0.0812,2016-01-06
11495019,-0.0471,2016-01-06
11096107,0.0149,2016-01-06
17094721,0.1527,2016-01-06
11752212,0.0421,2016-01-06
11926273,0.2111,2016-01-06
14762478,0.8519,2016-01-06
11854559,-0.0555,2016-01-06
11794295,0.0149,2016-01-06
12188853,0.25,2016-01-06
11941481,-0.2497,2016-01-06
14622935,0.0431,2016-01-06
11926577,0.0334,2016-01-06
11188262,-0.1165,2016-01-06
11559030,0.1044,2016-01-06
14627670,0.007,2016-01-06
14344674,0.076,2016-01-06
11161723,-0.0566,2016-01-06
12910808,0.0898,2016-01-06
12320974,-0.0576,2016-01-06
13035424,0.1519,2016-01-06
12671961,0.0119,2016-01-06
12088869,-0.0121,2016-01-06
12660669,0.0411,2016-01-06
11691651,0.0149,2016-01-06
12105506,0.002,2016-01-06
11345150,-0.0161,2016-01-06
11101949,-0.0284,2016-01-06
12105792,-0.0866,2016-01-06
11317309,-0.0834,2016-01-06
10805719,0.0354,2016-01-06
13938304,0.0129,2016-01-06
11996529,0.0459,2016-01-06
11448561,0.0257,2016-01-06
12810881,0.0198,2016-01-06
10738858,-0.002,2016-01-06
12696443,0.1865,2016-01-06
11547099,0.0129,2016-01-06
13901033,0.2303,2016-01-06
10864891,0.007,2016-01-06
12048008,0.0208,2016-01-06
11751312,-0.0419,2016-01-06
10803779,0.1923,2016-01-06
12170610,-0.0101,2016-01-06
13059140,-0.251,2016-01-06
10800361,0.0807,2016-01-06
11149098,0.0198,2016-01-06
13904025,0.006,2016-01-06
14624389,-0.001,2016-01-06
14474580,-0.003,2016-01-06
11116177,0.0169,2016-01-06
14462214,0.0402,2016-01-06
14484197,0.0583,2016-01-06
11554596,0.098,2016-01-06
10731733,-0.0398,2016-01-06
12597649,-0.0429,2016-01-06
14719288,0.1293,2016-01-06
14677191,-0.3682,2016-01-06
14677191,-0.0845,2016-09-12
14038811,0.0611,2016-01-06
13990013,-0.004,2016-01-06
11949447,0.0602,2016-01-06
12968167,0.0119,2016-01-06
14203317,0.0109,2016-01-06
14005398,0.0667,2016-01-06
12456617,0.0714,2016-01-06
14676549,0.0305,2016-01-06
12456685,-0.0274,2016-01-06
12456978,-0.0398,2016-01-06
14429624,0.0266,2016-01-06
11054462,-0.0356,2016-01-06
13921191,-0.0151,2016-01-06
11598844,0.1089,2016-01-06
14680318,-0.1602,2016-01-06
10798182,-0.0398,2016-01-06
11655826,-0.2421,2016-01-06
11292127,-0.0408,2016-01-06
17091815,-0.0284,2016-01-06
12408625,0.0139,2016-01-06
12548094,-0.0294,2016-01-06
10742245,0.0459,2016-01-06
12880784,0.0139,2016-01-06
12679414,0.0602,2016-01-06
12856806,-0.0284,2016-01-06
13913571,-0.0545,2016-01-06
13924623,0.0208,2016-01-06
12679490,0.0266,2016-01-06
12902876,0.003,2016-01-06
11322864,-0.1625,2016-01-06
11005771,-0.0131,2016-01-06
11005771,0.0545,2016-06-17
10981277,0.0797,2016-01-06
11059917,-0.0823,2016-01-06
10909953,0.0649,2016-01-06
12072183,0.0315,2016-01-06
12955502,-0.008,2016-01-06
12022192,0.0545,2016-01-06
12882330,0.0218,2016-01-06
12898754,-0.002,2016-01-06
13917048,0.0315,2016-01-06
12648647,0.0169,2016-01-06
10985618,-0.0111,2016-01-06
13066113,0.0,2016-01-06
14210314,-0.004,2016-01-06
14074219,0.0129,2016-01-06
14206820,-0.0212,2016-01-06
12964959,0.0431,2016-01-06
11951158,-0.0305,2016-01-06
10814025,-0.1485,2016-01-06
14601214,0.0,2016-01-06
10894658,0.131,2016-01-06
10979059,-0.0233,2016-01-06
14327637,-0.212,2016-01-06
11622126,-0.3769,2016-01-06
11530267,0.189,2016-01-06
12652149,0.0286,2016-01-06
11474588,0.0497,2016-01-06
12461109,-0.0151,2016-01-06
11685457,0.0953,2016-01-06
12778506,0.0296,2016-01-06
17224353,-0.003,2016-01-06
14668326,-0.0555,2016-01-06
11286298,-0.1555,2016-01-06
12860873,-0.0325,2016-01-06
11330994,0.7761,2016-01-06
11602441,-0.1555,2016-01-06
12064846,0.2631,2016-01-06
14469247,-0.009,2016-01-06
14112079,0.0779,2016-01-06
11487154,-0.0921,2016-01-06
12082572,-0.046,2016-01-06
13888764,-0.007,2016-01-06
10910629,0.007,2016-01-06
14616857,-0.2132,2016-01-06
12768383,0.3723,2016-01-06
11808047,0.0188,2016-01-06
10918094,0.01,2016-01-06
11210113,0.002,2016-01-06
17208044,0.0639,2016-01-06
