Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Admitted
221,313,103,3,4,4,8.75,0,1
222,316,110,3,3.5,4,8.56,0,1
223,324,113,4,4.5,4,8.79,0,1
224,308,109,2,3,4,8.45,0,1
225,305,105,2,3,2,8.23,0,1
226,296,99,2,2.5,2.5,8.03,0,0
227,306,110,2,3.5,4,8.45,0,0
228,312,110,2,3.5,3,8.53,0,0
229,318,112,3,4,3.5,8.67,0,1
230,324,111,4,3,3,9.01,1,1
231,313,104,3,4,4.5,8.65,0,1
232,319,106,3,3.5,2.5,8.33,1,1
233,312,107,2,2.5,3.5,8.27,0,1
234,304,100,2,2.5,3.5,8.07,0,0
235,330,113,5,5,4,9.31,1,1
236,326,111,5,4.5,4,9.23,1,1
237,325,112,4,4,4.5,9.17,1,1
238,329,114,5,4.5,5,9.19,1,1
239,310,104,3,2,3.5,8.37,0,1
240,299,100,1,1.5,2,7.89,0,0
241,296,101,1,2.5,3,7.68,0,0
242,317,103,2,2.5,2,8.15,0,1
243,324,115,3,3.5,3,8.76,1,1
244,325,114,3,3.5,3,9.04,1,1
245,314,107,2,2.5,4,8.56,0,0
246,328,110,4,4,2.5,9.02,1,1
247,316,105,3,3,3.5,8.73,0,1
248,311,104,2,2.5,3.5,8.48,0,1
249,324,110,3,3.5,4,8.87,1,1
250,321,111,3,3.5,4,8.83,1,1
251,320,104,3,3,2.5,8.57,1,1
252,316,99,2,2.5,3,9,0,1
253,318,100,2,2.5,3.5,8.54,1,1
254,335,115,4,4.5,4.5,9.68,1,1
255,321,114,4,4,5,9.12,0,1
256,307,110,4,4,4.5,8.37,0,1
257,309,99,3,4,4,8.56,0,1
258,324,100,3,4,5,8.64,1,1
259,326,102,4,5,5,8.76,1,1
260,331,119,4,5,4.5,9.34,1,1
261,327,108,5,5,3.5,9.13,1,1
262,312,104,3,3.5,4,8.09,0,1
263,308,103,2,2.5,4,8.36,1,1
264,324,111,3,2.5,1.5,8.79,1,1
265,325,110,2,3,2.5,8.76,1,1
266,313,102,3,2.5,2.5,8.68,0,1
267,312,105,2,2,2.5,8.45,0,1
268,314,107,3,3,3.5,8.17,1,1
269,327,113,4,4.5,5,9.14,0,1
270,308,108,4,4.5,5,8.34,0,1
271,306,105,2,2.5,3,8.22,1,1
272,299,96,2,1.5,2,7.86,0,0
273,294,95,1,1.5,1.5,7.64,0,0
274,312,99,1,1,1.5,8.01,1,0
275,315,100,1,2,2.5,7.95,0,0
276,322,110,3,3.5,3,8.96,1,1
277,329,113,5,5,4.5,9.45,1,1
278,320,101,2,2.5,3,8.62,0,1
279,308,103,2,3,3.5,8.49,0,1
280,304,102,2,3,4,8.73,0,1
281,311,102,3,4.5,4,8.64,1,1
282,317,110,3,4,4.5,9.11,1,1
283,312,106,3,4,3.5,8.79,1,1
284,321,111,3,2.5,3,8.9,1,1
285,340,112,4,5,4.5,9.66,1,1
286,331,116,5,4,4,9.26,1,1
287,336,118,5,4.5,4,9.19,1,1
288,324,114,5,5,4.5,9.08,1,1
289,314,104,4,5,5,9.02,0,1
290,313,109,3,4,3.5,9,0,1
291,307,105,2,2.5,3,7.65,0,0
292,300,102,2,1.5,2,7.87,0,0
293,302,99,2,1,2,7.97,0,0
294,312,98,1,3.5,3,8.18,1,0
295,316,101,2,2.5,2,8.32,1,0
296,317,100,2,3,2.5,8.57,0,1
297,310,107,3,3.5,3.5,8.67,0,1
298,320,120,3,4,4.5,9.11,0,1
299,330,114,3,4.5,4.5,9.24,1,1
300,305,112,3,3,3.5,8.65,0,1
301,309,106,2,2.5,2.5,8,0,0
302,319,108,2,2.5,3,8.76,0,1
303,322,105,2,3,3,8.45,1,1
304,323,107,3,3.5,3.5,8.55,1,1
305,313,106,2,2.5,2,8.43,0,0
306,321,109,3,3.5,3.5,8.8,1,1
307,323,110,3,4,3.5,9.1,1,1
308,325,112,4,4,4,9,1,1
309,312,108,3,3.5,3,8.53,0,1
310,308,110,4,3.5,3,8.6,0,1
311,320,104,3,3,3.5,8.74,1,1
312,328,108,4,4.5,4,9.18,1,1
313,311,107,4,4.5,4.5,9,1,1
314,301,100,3,3.5,3,8.04,0,1
315,305,105,2,3,4,8.13,0,1
316,308,104,2,2.5,3,8.07,0,1
317,298,101,2,1.5,2,7.86,0,0
318,300,99,1,1,2.5,8.01,0,0
319,324,111,3,2.5,2,8.8,1,1
320,327,113,4,3.5,3,8.69,1,1
321,317,106,3,4,3.5,8.5,1,1
322,323,104,3,4,4,8.44,1,1
323,314,107,2,2.5,4,8.27,0,1
324,305,102,2,2,2.5,8.18,0,0
325,315,104,3,3,2.5,8.33,0,1
326,326,116,3,3.5,4,9.14,1,1
327,299,100,3,2,2,8.02,0,0
328,295,101,2,2.5,2,7.86,0,1
329,324,112,4,4,3.5,8.77,1,1
330,297,96,2,2.5,1.5,7.89,0,0
331,327,113,3,3.5,3,8.66,1,1
332,311,105,2,3,2,8.12,1,1
333,308,106,3,3.5,2.5,8.21,1,1
334,319,108,3,3,3.5,8.54,1,1
335,312,107,4,4.5,4,8.65,1,1
336,325,111,4,4,4.5,9.11,1,1
337,319,110,3,3,2.5,8.79,0,1
338,332,118,5,5,5,9.47,1,1
339,323,108,5,4,4,8.74,1,1
340,324,107,5,3.5,4,8.66,1,1
341,312,107,3,3,3,8.46,1,1
342,326,110,3,3.5,3.5,8.76,1,1
343,308,106,3,3,3,8.24,0,0
344,305,103,2,2.5,3.5,8.13,0,0
345,295,96,2,1.5,2,7.34,0,0
346,316,98,1,1.5,2,7.43,0,0
347,304,97,2,1.5,2,7.64,0,0
348,299,94,1,1,1,7.34,0,0
349,302,99,1,2,2,7.25,0,0
350,313,101,3,2.5,3,8.04,0,0
351,318,107,3,3,3.5,8.27,1,1
352,325,110,4,3.5,4,8.67,1,1
353,303,100,2,3,3.5,8.06,1,0
354,300,102,3,3.5,2.5,8.17,0,0
355,297,98,2,2.5,3,7.67,0,0
356,317,106,2,2,3.5,8.12,0,1
357,327,109,3,3.5,4,8.77,1,1
358,301,104,2,3.5,3.5,7.89,1,1
359,314,105,2,2.5,2,7.64,0,1
360,321,107,2,2,1.5,8.44,0,1
361,322,110,3,4,5,8.64,1,1
362,334,116,4,4,3.5,9.54,1,1
363,338,115,5,4.5,5,9.23,1,1
364,306,103,2,2.5,3,8.36,0,1
365,313,102,3,3.5,4,8.9,1,1
366,330,114,4,4.5,3,9.17,1,1
367,320,104,3,3.5,4.5,8.34,1,1
368,311,98,1,1,2.5,7.46,0,0
369,298,92,1,2,2,7.88,0,0
370,301,98,1,2,3,8.03,1,1
371,310,103,2,2.5,2.5,8.24,0,1
372,324,110,3,3.5,3,9.22,1,1
373,336,119,4,4.5,4,9.62,1,1
374,321,109,3,3,3,8.54,1,1
375,315,105,2,2,2.5,7.65,0,0
376,304,101,2,2,2.5,7.66,0,0
377,297,96,2,2.5,2,7.43,0,0
378,290,100,1,1.5,2,7.56,0,0
379,303,98,1,2,2.5,7.65,0,0
380,311,99,1,2.5,3,8.43,1,1
381,322,104,3,3.5,4,8.84,1,1
382,319,105,3,3,3.5,8.67,1,1
383,324,110,4,4.5,4,9.15,1,1
384,300,100,3,3,3.5,8.26,0,0
385,340,113,4,5,5,9.74,1,1
386,335,117,5,5,5,9.82,1,1
387,302,101,2,2.5,3.5,7.96,0,0
388,307,105,2,2,3.5,8.1,0,0
389,296,97,2,1.5,2,7.8,0,0
390,320,108,3,3.5,4,8.44,1,1
391,314,102,2,2,2.5,8.24,0,0
392,318,106,3,2,3,8.65,0,1
393,326,112,4,4,3.5,9.12,1,1
394,317,104,2,3,3,8.76,0,1
395,329,111,4,4.5,4,9.23,1,1
396,324,110,3,3.5,3.5,9.04,1,1
397,325,107,3,3,3.5,9.11,1,1
398,330,116,4,5,4.5,9.45,1,1
399,312,103,3,3.5,4,8.78,0,1
400,333,117,4,5,4,9.66,1,1
401,304,100,2,3.5,3,8.22,0,0
402,315,105,2,3,3,8.34,0,1
403,324,109,3,3.5,3,8.94,1,1
404,330,116,4,4,3.5,9.23,1,1
405,311,101,3,2,2.5,7.64,1,0
406,302,99,3,2.5,3,7.45,0,0
407,322,103,4,3,2.5,8.02,1,0
408,298,100,3,2.5,4,7.95,1,0
409,297,101,3,2,4,7.67,1,0
410,300,98,1,2,2.5,8.02,0,0
411,301,96,1,3,4,7.56,0,0
412,313,94,2,2.5,1.5,8.13,0,0
413,314,102,4,2.5,2,7.88,1,0
414,317,101,3,3,2,7.94,1,0
415,321,110,4,3.5,4,8.35,1,1
416,327,106,4,4,4.5,8.75,1,1
417,315,104,3,4,2.5,8.1,0,1
418,316,103,3,3.5,2,7.68,0,0
419,309,111,2,2.5,4,8.03,0,0
420,308,102,2,2,3.5,7.98,1,0
421,299,100,3,2,3,7.42,0,0
422,321,112,3,3,4.5,8.95,1,1
423,322,112,4,3.5,2.5,9.02,1,1
424,334,119,5,4.5,5,9.54,1,1
425,325,114,5,4,5,9.46,1,1
426,323,111,5,4,5,9.86,1,1
427,312,106,3,3,5,8.57,0,1
428,310,101,3,3.5,5,8.65,1,1
429,316,103,2,2,4.5,8.74,0,1
430,340,115,5,5,4.5,9.06,1,1
431,311,104,3,4,3.5,8.13,1,1
432,320,112,2,3.5,3.5,8.78,1,1
433,324,112,4,4.5,4,9.22,1,1
434,316,111,4,4,5,8.54,0,1
435,306,103,3,3.5,3,8.21,0,0
436,309,105,2,2.5,4,7.68,0,0
437,310,110,1,1.5,4,7.23,1,0
438,317,106,1,1.5,3.5,7.65,1,0
439,318,110,1,2.5,3.5,8.54,1,1
440,312,105,2,1.5,3,8.46,0,1
441,305,104,2,2.5,1.5,7.79,0,0
442,332,112,1,1.5,3,8.66,1,1
443,331,116,4,4.5,4.5,9.44,1,1
444,321,114,5,4.5,4.5,9.16,1,1
445,324,113,5,4,5,9.25,1,1
446,328,116,5,4.5,5,9.08,1,1
447,327,118,4,5,5,9.67,1,1
448,320,108,3,3.5,5,8.97,1,1
449,312,109,2,2.5,4,9.02,0,1
450,315,101,3,3.5,4.5,9.13,0,1
451,320,112,4,3,4.5,8.86,1,1
452,324,113,4,4.5,4.5,9.25,1,1
453,328,116,4,5,3.5,9.6,1,1
454,319,103,3,2.5,4,8.76,1,1
455,310,105,2,3,3.5,8.01,0,1
456,305,102,2,1.5,2.5,7.64,0,0
457,299,100,2,2,2,7.88,0,0
458,295,99,1,2,1.5,7.57,0,0
459,312,100,1,3,3,8.53,1,1
460,329,113,4,4,3.5,9.36,1,1
461,319,105,4,4,4.5,8.66,1,1
462,301,102,3,2.5,2,8.13,1,1
463,307,105,4,3,3,7.94,0,0
464,304,107,3,3.5,3,7.86,0,0
465,298,97,2,2,3,7.21,0,0
466,305,96,4,3,4.5,8.26,0,0
467,314,99,4,3.5,4.5,8.73,1,1
468,318,101,5,3.5,5,8.78,1,1
469,323,110,4,4,5,8.88,1,1
470,326,114,4,4,3.5,9.16,1,1
471,320,110,5,4,4,9.27,1,1
472,311,103,3,2,4,8.09,0,0
473,327,116,4,4,4.5,9.48,1,1
474,316,102,2,4,3.5,8.15,0,1
475,308,105,4,3,2.5,7.95,1,1
476,300,101,3,3.5,2.5,7.88,0,0
477,304,104,3,2.5,2,8.12,0,0
478,309,105,4,3.5,2,8.18,0,1
479,318,103,3,4,4.5,8.49,1,1
480,325,110,4,4.5,4,8.96,1,1
481,321,102,3,3.5,4,9.01,1,1
482,323,107,4,3,2.5,8.48,1,1
483,328,113,4,4,2.5,8.77,1,1
484,304,103,5,5,3,7.92,0,1
485,317,106,3,3.5,3,7.89,1,1
486,311,101,2,2.5,3.5,8.34,1,1
487,319,102,3,2.5,2.5,8.37,0,1
488,327,115,4,3.5,4,9.14,0,1
489,322,112,3,3,4,8.62,1,1
490,302,110,3,4,4.5,8.5,0,1
491,307,105,2,2.5,4.5,8.12,1,1
492,297,99,4,3,3.5,7.81,0,0
493,298,101,4,2.5,4.5,7.69,1,0
494,300,95,2,3,1.5,8.22,1,0
495,301,99,3,2.5,2,8.45,1,1
496,332,108,5,4.5,4,9.02,1,1
497,337,117,5,5,5,9.87,1,1
498,330,120,5,4.5,5,9.56,1,1
499,312,103,4,4,5,8.43,0,1
500,327,113,4,4.5,4.5,9.04,0,1
